Data,Hora,Liga,Jogo,Método,Mercado,Lado,Odd_Entrada,Odd_Fav,Expectativa_WR,EV_Estimado,1/0,P/L,Placar,Resultado,Stake_R$,PnL_R$,PnL_u,Stake_Sugerida_R$,Lucro_Green_R$,Risco_Red_R$,mk,kh,ka,lay_real,g
2026-08-22,12:00,SPAIN 1,Athletic Bilbao x Sevilla,Lay 0x1 Super Fav,Correct Score (0x1),LAY,15.0,1.83,94.2%,+2.59%,1,0.06892857142857142,,,,,,,,,Lay 0x1,athleticbilbao,sevilla,15.0,1
2026-08-22,12:00,SPAIN 2,Oviedo x Leganes,Lay 0x1 Super Fav,Correct Score (0x1),LAY,14.0,1.89,94.2%,+2.59%,0,-1.0,,,,,,,,,Lay 0x1,oviedo,leganes,14.0,0
2026-08-22,13:00,BULGARIA 1,Ludogorets x Slavia Sofia,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,14.18,1.36,94.3%,+3.18%,1,0.07321699544764795,,,,,,,,,Lay Under 0.5,ludogorets,slaviasofia,21.0,1
2026-08-22,13:00,BULGARIA 1,Ludogorets x Slavia Sofia,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.46,1.36,85.8%,+3.26%,0,-1.0,,,,,,,,,Lay Draw,ludogorets,slaviasofia,5.5,0
2026-08-22,13:00,ICELAND 2,Njardvik x Volsungur,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,9.45,1.45,94.3%,+3.18%,1,0.11420118343195267,,,,,,,,,Lay Under 0.5,njardvik,volsungur,26.0,1
2026-08-22,13:00,ITALY 3,Cittadella x Pergolettese,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,9.66,1.58,94.3%,+3.18%,1,0.11143187066974596,,,,,,,,,Lay Under 0.5,cittadella,pergolettese,13.5,1
2026-08-22,13:00,PERU 1,Sport Huancayo x Cesar Vallejo Moquegua,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.36,1.38,85.8%,+3.26%,1,0.22133027522935778,,,,,,,,,Lay Draw,sporthuancayo,cesarvallejomoquegua,5.7,1
2026-08-22,13:30,ITALY 1,Inter x AC Monza,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,8.65,1.2,85.8%,+3.26%,1,0.1261437908496732,,,,,,,,,Lay Draw,inter,acmonza,8.8,1
2026-08-22,14:00,EGYPT 1,Ghazl El Mahallah x Pyramids,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,7.98,1.51,94.3%,+3.18%,1,0.13825214899713464,,,,,,,,,Lay Under 0.5,ghazlelmahallah,pyramids,8.2,1
2026-08-22,14:00,GREECE 1,AEK Athens x Iraklis,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.21,1.23,85.8%,+3.26%,1,0.15539452495974235,,,,,,,,,Lay Draw,aekathens,iraklis,7.2,1
2026-08-22,15:00,ARGENTINA 2,Tristan Suarez x Agropecuario,Lay 0x1 Super Fav,Correct Score (0x1),LAY,13.5,1.86,94.2%,+2.59%,1,0.07719999999999999,,,,,,,,,Lay 0x1,tristansuarez,agropecuario,13.5,1
2026-08-22,15:00,CZECH 1,Slavia Prague x Bohemians 1905,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.39,1.34,85.8%,+3.26%,0,-1.0,,,,,,,,,Lay Draw,slaviaprague,bohemians1905,6.4,0
2026-08-22,15:00,FRANCE 2,St Etienne x Grenoble,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.46,1.38,85.8%,+3.26%,1,0.2163677130044843,,,,,,,,,Lay Draw,stetienne,grenoble,5.4,1
2026-08-22,15:00,SAUDI ARABIA 1,Al Ahli x Abha,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.83,1.22,85.8%,+3.26%,1,0.14128843338213762,,,,,,,,,Lay Draw,alahli,abha,7.8,1
2026-08-22,15:15,BULGARIA 1,PFC Levski Sofia x Spartak Varna,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.08,1.31,85.8%,+3.26%,1,0.18996062992125984,,,,,,,,,Lay Draw,pfclevskisofia,spartakvarna,6.2,1
2026-08-22,15:30,GREECE 1,Olympiakos x Atromitos,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.0,1.23,85.8%,+3.26%,1,0.16083333333333333,,,,,,,,,Lay Draw,olympiakos,atromitos,7.0,1
