Data,Liga,Home,Away,ID_Evento,Odd_H_Back,Odd_A_Back,Odd_Under25_FT_Back,Odd_Over35_FT_Back,Metodo,Odd_Lay,passa_filtro,kh,ka,Green,Placar,Fonte
2026-08-26,ENGLAND CUP,Tottenham,Charlton,35928667,1.27,13.5,2.96,2.2,Lay_Draw,7.0,0,tottenham,charlton,True,?,sinais1/0
2026-08-26,ENGLAND CUP,Preston,Everton,35928174,6.6,1.55,2.26,2.9,Lay_Home,7.2,1,preston,everton,True,0x4,manual_user
2026-08-26,SPAIN 1,Real Madrid,Real Sociedad,35780321,1.3,11.5,3.3,2.06,Lay_Draw,6.8,0,realmadrid,realsociedad,True,?,sinais1/0
2026-08-26,BOLIVIA 1,Real Potosi,Real Tomayapo,35979593,1.34,11.5,2.64,2.48,Lay_Draw,5.9,0,realpotosi,realtomayapo,True,?,sinais1/0
2026-08-26,ARGENTINA 2,CA Colegiales,FC Midland,35967984,2.42,1.09,1.25,1.05,Lay_Draw,6.6,0,cacolegiales,fcmidland,,,
2026-08-26,BOLIVIA 1,Blooming Santa Cruz,CDT Real Oruro,35980683,1.36,7.0,4.1,1.67,Lay_Draw,7.2,0,bloomingsantacruz,cdtrealoruro,False,?,sinais1/0
2026-08-26,COPA SUDAMERICANA,River Plate,Santa Fe,35965764,1.36,13.5,1.78,4.3,Lay_Draw,5.2,1,riverplate,santafe,False,?,sinais1/0
2026-08-27,EUROPA CONFERENCE LEAGUE,Freiburg,Motherwell,35969017,1.2,17.0,2.98,2.18,Lay_Draw,9.2,0,freiburg,motherwell,True,?,sinais1/0
2026-08-27,EUROPA CONFERENCE LEAGUE,FC Copenhagen,FC Inter Turku,35964583,1.31,12.5,2.62,2.46,Lay_Draw,6.4,0,fccopenhagen,fcinterturku,True,?,sinais1/0
2026-08-27,EUROPA CONFERENCE LEAGUE,Pafos FC,Dinamo Tirana,35969161,1.32,13.0,2.36,2.72,Lay_Draw,6.2,1,pafosfc,dinamotirana,True,?,sinais1/0
2026-08-27,EUROPA LEAGUE,FK Kauno Zalgiris,Besiktas,35968035,9.6,1.4,2.18,3.05,Lay_Home,10.0,0,fkkaunozalgiris,besiktas,False,1x0,manual_user
2026-08-27,EUROPA LEAGUE,FK Kauno Zalgiris,Besiktas,35968035,9.6,1.4,2.18,3.05,Lay_Draw,5.4,1,fkkaunozalgiris,besiktas,True,1x0,manual_user
2026-08-27,EUROPA LEAGUE,Red Bull Salzburg,Mjallby,35967941,1.25,13.0,3.0,2.2,Lay_Draw,7.6,0,redbullsalzburg,mjallby,True,?,sinais1/0
2026-08-27,EUROPA CONFERENCE LEAGUE,Ajax,Sion,35969276,1.36,9.0,3.6,1.84,Lay_Draw,6.6,0,ajax,sion,True,?,sinais1/0
2026-08-27,EUROPA CONFERENCE LEAGUE,Hapoel Tel Aviv,Atalanta,35967945,7.0,1.51,2.36,2.8,Lay_Home,7.6,0,hapoeltelaviv,atalanta,True,0x1,manual_user
2026-08-27,EUROPA LEAGUE,AGF,Benfica,35964593,7.8,1.44,2.92,2.24,Lay_Home,8.0,0,agf,benfica,True,1x3,manual_user
2026-08-27,ENGLAND CUP,Chelsea,Luton,35928173,1.17,21.0,3.9,1.87,Lay_Draw,10.0,0,chelsea,luton,True,2x0,manual_user
2026-08-27,EUROPA CONFERENCE LEAGUE,Brighton,Tromso,35971320,1.23,18.5,2.74,2.3,Lay_Draw,7.6,0,brighton,tromso,True,?,sinais1/0
2026-08-27,EUROPA LEAGUE,Anderlecht,Kairat Almaty,35964598,1.39,9.6,2.3,2.9,Lay_Draw,5.6,1,anderlecht,kairatalmaty,True,?,sinais1/0
2026-08-27,BOLIVIA 1,Always Ready,Aurora,35980680,1.28,10.5,3.1,2.08,Lay_Draw,7.2,0,alwaysready,aurora,False,?,sinais1/0
2026-08-27,ENGLAND CUP,Fulham,AFC Wimbledon,35931570,1.24,16.0,3.2,2.08,Lay_Draw,7.8,0,fulham,afcwimbledon,True,?,sinais1/0
2026-08-27,SPAIN 1,Barcelona,Athletic Bilbao,35780320,1.25,13.5,3.35,2.02,Lay_Draw,7.8,0,barcelona,athleticbilbao,True,?,sinais1/0
2026-08-27,PARAGUAY CUP,Resistencia SC,Cerro Porteno,35986422,8.2,1.42,2.12,2.98,Lay_Home,10.0,0,resistenciasc,cerroporteno,True,0x1,manual_user
2026-08-27,ARGENTINA CUP,CA Platense,Instituto,35950134,3.95,2.38,1.5,6.2,Lay_Over45,18.0,1,caplatense,instituto,True,1x1,manual_user
2026-08-28,SOUTH KOREA 2,Ansan Greeners FC,Daegu Fc,35969850,7.6,1.43,2.92,2.2,Lay_Home,8.2,0,ansangreenersfc,daegufc,True,1x2,manual_user
2026-08-28,SAUDI ARABIA 1,Al-Anwar Club,Al-Ula FC,35985563,6.2,1.59,2.16,3.05,Lay_Home,6.8,1,alanwarclub,alulafc,True,0x1,manual_user
2026-08-28,EGYPT 1,Al Ittihad (EGY),Ceramica Cleopatra,35975686,5.6,2.02,1.46,6.6,Lay_Over45,20.0,1,alittihadegy,ceramicacleopatra,True,1x3,manual_user
2026-08-28,SAUDI ARABIA 1,Al-Khaleej Saihat,Al-Hilal,35983824,11.5,1.3,2.62,2.52,Lay_Draw,6.6,0,alkhaleejsaihat,alhilal,True,1x5,manual_user
2026-08-28,SAUDI ARABIA 1,Al Nassr,Al-Taawoun Buraidah,35984822,1.29,13.0,3.45,1.98,Lay_Draw,6.8,0,alnassr,altaawounburaidah,True,?,sinais1/0
2026-08-28,GERMANY 1,Bayern Munich,Stuttgart,35785195,1.25,12.0,5.9,1.49,Lay_Draw,8.4,0,bayernmunich,stuttgart,True,?,sinais1/0
2026-08-28,IRELAND 2,Cork City,Wexford F.C,35967706,1.33,10.0,2.96,2.22,Lay_Draw,6.6,0,corkcity,wexfordfc,True,?,sinais1/0
2026-08-28,IRELAND 2,UCD,Finn Harps,35967710,1.25,13.5,3.4,1.99,Lay_Draw,8.0,0,ucd,finnharps,True,?,sinais1/0
2026-08-28,IRELAND 1,Bohemians,Sligo Rovers,35967662,1.28,13.5,2.72,2.4,Lay_Draw,6.8,0,bohemians,sligorovers,True,?,sinais1/0
2026-08-28,IRELAND 1,St Patricks,Waterford,35967700,1.4,8.6,2.7,2.44,Lay_Draw,5.7,0,stpatricks,waterford,True,?,sinais1/0
