Data,Liga,Home,Away,ID_Evento,Metodo,Odd_Lay,Odd_H_Back,Odd_A_Back,Odd_Under25_FT_Back,Odd_Over35_FT_Back,passa_filtro,capturado_em,Green,PnL_liab,Placar,Status
2026-08-29,JAPAN 2,Tokushima,Oita,35969847,Lay_Over45,18.0,2.38,3.75,1.5,6.4,1,gap-retro,1,0.95,1x0,GREEN
2026-08-29,CHINA 1,Chengdu Rongcheng,Liaoning Tieren FC,35973516,Lay_Draw,6.2,1.39,8.0,3.0,2.18,0,gap-retro,1,0.95,2x1,GREEN
2026-08-29,GERMANY 1,Elversberg,Leverkusen,35785197,Lay_Home,5.8,5.7,1.63,2.88,2.32,1,gap-retro,1,0.95,1x2,GREEN
2026-08-29,CZECH 1,Arsenal CL,FC Sellier,35986306,Lay_Over45,10.5,1.5,1.8,1.26,1.69,1,gap-retro,1,0.95,2x1,GREEN
2026-08-29,ICELAND 2,Afturelding,IF Vestri,35989814,Lay_Draw,9.8,1.2,14.5,3.9,1.77,0,gap-retro,1,0.95,1x0,GREEN
2026-08-29,SCOTLAND 2,Partick,Queens Park,35970559,Lay_Draw,5.9,1.33,11.0,2.3,2.88,1,gap-retro,0,-4.9,0x0,RED
2026-08-29,SCOTLAND 1,Celtic,Falkirk,35979297,Lay_Draw,7.0,1.27,13.5,2.96,2.3,0,gap-retro,1,0.95,3x1,GREEN
2026-08-29,SAUDI ARABIA 1,Al-Kholood Club,Al Ahli,35988282,Lay_Home,9.0,8.6,1.44,2.2,3.05,0,gap-retro,1,0.95,0x1,GREEN
2026-08-29,CROATIA 1,NK Istra,Dinamo Zagreb,35975624,Lay_Home,8.0,7.2,1.45,2.76,2.32,0,gap-retro,1,0.95,0x2,GREEN
2026-08-29,NETHERLANDS 1,AZ Alkmaar,Go Ahead Eagles,35965450,Lay_Draw,6.0,1.4,8.4,3.5,1.98,0,gap-retro,1,0.95,5x2,GREEN
2026-08-29,ISRAEL 1,Hapoel Ramat Gan,Hapoel Be'er Sheva,35992580,Lay_Home,8.4,7.4,1.48,2.28,2.78,0,gap-retro,1,0.95,0x2,GREEN
2026-08-29,PORTUGAL 1,Academico de Viseu,Porto,35979521,Lay_Draw,6.4,12.5,1.3,2.34,2.88,1,gap-retro,1,0.95,0x3,GREEN
2026-08-29,TURKEY 1,Galatasaray,Goztepe,35976838,Lay_Draw,6.4,1.33,11.5,2.78,2.36,0,gap-retro,1,0.95,3x1,GREEN
2026-08-29,ITALY 1,Juventus,Parma,35965555,Lay_Draw,6.8,1.26,16.0,2.2,3.05,1,gap-retro,1,0.95,2x0,GREEN
2026-08-29,CROATIA 1,Varazdin,Rudes,35986245,Lay_Draw,6.8,1.3,12.0,2.44,2.66,1,gap-retro,1,0.95,1x0,GREEN
2026-08-29,COLOMBIA 2,Real Cartagena,Tigres FC Zipaquira,35988913,Lay_Draw,6.8,1.27,14.5,2.12,3.1,1,gap-retro,1,0.95,1x0,GREEN
2026-08-29,ARGENTINA 1,Atl Tucuman,Belgrano,35949497,Lay_Over45,18.5,2.82,3.15,1.48,6.0,1,gap-retro,1,0.95,0x0,GREEN
2026-08-29,PERU 1,Alianza Lima,Deportivo Garcilaso,35976951,Lay_Draw,5.5,1.34,13.5,1.93,3.45,1,gap-retro,1,0.95,3x4,GREEN
2026-08-29,USA 1,Kansas City,Vancouver Whitecaps,35973474,Lay_Home,7.6,7.0,1.46,2.98,2.22,0,gap-retro,1,0.95,1x1,GREEN
2026-08-30,NETHERLANDS 1,FC Utrecht,PSV,35974232,Lay_Home,5.8,5.6,1.6,3.7,1.9,1,gap-retro,1,0.95,1x2,GREEN
2026-08-30,SOUTH KOREA 1,Gwangju FC,FC Seoul,35984349,Lay_Home,8.0,7.4,1.51,2.1,3.25,0,gap-retro,1,0.95,0x1,GREEN
2026-08-30,CHINA 1,Guangdong GZ-Power FC,Changchun Yatai,35992886,Lay_Draw,6.0,1.4,8.2,2.58,2.44,0,gap-retro,1,0.95,2x1,GREEN
2026-08-30,ESTONIA 1,Nomme Kalju,Fci Tallinn,35978822,Lay_Home,7.4,6.4,1.56,2.24,2.88,1,gap-retro,1,0.95,1x1,GREEN
2026-08-30,DENMARK 1,Silkeborg,Midtjylland,35965486,Lay_Home,6.8,6.4,1.52,2.78,2.34,0,gap-retro,1,0.95,1x1,GREEN
2026-08-30,SWEDEN 1,AIK,Hammarby,35974597,Lay_Home,6.8,6.4,1.53,2.68,2.44,0,gap-retro,1,0.95,0x0,GREEN
