Data,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,1/0,PnL_Linha,Placar_FT
2025-09-15,07:00,JAPAN 1,FC Tokyo vs Verdy,Lay_CS_0x1_B365,8.53,1.0,299.5977825269929,1x0
2025-09-15,12:00,ROMANIA 1,FC Hermannstadt vs Unirea Slobozia,Lay_CS_0x1_B365,10.03,1.0,280.85218483842687,0x2
2025-09-16,13:00,ESTONIA 1,Tammeka vs Parnu JK Vaprus,Lay_CS_0x1_B365,9.53,1.0,421.17927128131583,1x4
2025-09-19,15:00,FRANCE 2,Nancy vs Red Star,Lay_CS_0x1_B365,8.03,0.0,-2806.7168950788027,0x1
2025-09-20,07:00,SPAIN 1,Betis B vs Atl. Madrid B,Lay_CS_1x0_B365,9.03,1.0,280.94287701472683,0x2
2025-09-21,08:30,BELGIUM 1,Genk vs Royale Union SG,Lay_CS_0x1_B365,9.53,1.0,334.5413024445712,1x2
2025-09-21,13:30,SPAIN 2,Eibar vs Real Sociedad B,Lay_CS_1x0_B365,5.53,1.0,412.80353200883,2x1
2025-09-23,07:00,JAPAN 1,Shonan Bellmare vs Kawasaki Frontale,Lay_CS_0x1_B365,8.53,1.0,365.6630237517459,1x2
2025-09-23,15:30,FRANCE 2,Red Star vs Troyes,Lay_CS_0x1_B365,8.03,1.0,494.97660196833255,1x3
2025-09-26,09:00,CHINA 1,Zhejiang Professional vs Chengdu Rongcheng,Lay_CS_0x1_B365,9.03,1.0,90.5046645238126,3x3
2025-09-28,07:15,POLAND 1,Widzew Lodz vs Rakow,Lay_CS_0x1_B365,9.03,0.0,-850.7409361559733,0x1
2025-09-29,12:00,GREECE 1,Atromitos vs AEL Larissa,Lay_CS_0x1_B365,10.03,1.0,72.65449326962019,1x1
2025-10-02,16:00,ENGLAND 3,Rotherham vs Bradford City,Lay_CS_0x1_B365,8.03,1.0,73.79006235210345,2x2
2025-10-03,16:00,ENGLAND 2,Wrexham vs Birmingham,Lay_CS_0x1_B365,8.03,1.0,119.8185311505802,1x1
2025-10-04,10:00,ITALY 1,Parma vs Lecce,Lay_CS_1x0_B365,6.03,1.0,92.94234592445328,0x1
2025-10-05,13:00,ITALY 1,Napoli vs Genoa,Lay_CS_1x0_B365,5.03,1.0,221.63925266660507,2x1
