League,Line,N1,N2,N3,consenso
WOM FRANCE 1,1.5,Over,Under,Over,
WOM GERMANY 1,1.5,Under,Over,Over,
WOM ITALY 1,1.5,Under,Over,Over,
WOM SPAIN 1,1.5,Under,Under,Under,Under
WOM USA 1,1.5,Over,Under,Over,
WORLD AMERICA CUP,1.5,Under,Over,Under,
WORLD EUROCUP,1.5,Over,Over,Under,
WORLD UEFA NATIONS LEAGUE,1.5,Over,Over,Under,
WORLD WORLD CUP,1.5,Under,Over,Under,
ARGENTINA 1,2.5,Over,Under,Over,
ARGENTINA 2,2.5,Over,Under,Under,
ARGENTINA 3,2.5,Over,Over,Under,
ARGENTINA CUP,2.5,Over,Under,Under,
AUSTRALIA 1,2.5,Over,Under,Over,
AUSTRIA 1,2.5,Over,Over,Under,
AUSTRIA 2,2.5,Under,Over,Over,
BELGIUM 1,2.5,Under,Over,Over,
BELGIUM 2,2.5,Under,Over,Under,
BOLIVIA 1,2.5,Over,Under,Over,
BOLIVIA CUP,2.5,Over,Under,Over,
BOSNIA 1,2.5,Under,Under,Under,Under
BOSNIA 2,2.5,Under,Under,Over,
BRAZIL 1,2.5,Under,Under,Over,
BRAZIL 2,2.5,Over,Under,Under,
BRAZIL 3,2.5,Under,Under,Under,Under
BRAZIL 4,2.5,Under,Over,Under,
BRAZIL CUP,2.5,Under,Under,Under,Under
BULGARIA 1,2.5,Over,Under,Under,
BULGARIA 2,2.5,Over,Over,Over,Over
CHILE 1,2.5,Under,Under,Over,
CHILE 2,2.5,Over,Under,Over,
CHILE CUP,2.5,Over,Over,Under,
CHINA 1,2.5,Over,Under,Over,
CHINA 2,2.5,Under,Under,Over,
COLOMBIA 1,2.5,Under,Over,Over,
COLOMBIA 2,2.5,Under,Under,Over,
COPA LIBERTADORES,2.5,Under,Under,Under,Under
COPA SUDAMERICANA,2.5,Under,Under,Under,Under
CROATIA 1,2.5,Over,Under,Under,
CROATIA 2,2.5,Under,Over,Over,
CYPRUS 1,2.5,Over,Over,Over,Over
CYPRUS 2,2.5,Under,Under,Over,
CZECH 1,2.5,Over,Under,Under,
CZECH 2,2.5,Under,Over,Under,
DENMARK 1,2.5,Over,Over,Over,Over
DENMARK 2,2.5,Under,Over,Over,
ECUADOR 1,2.5,Under,Under,Over,
ECUADOR 2,2.5,Under,Over,Under,
ECUADOR CUP,2.5,Under,Under,Over,
EGYPT 1,2.5,Over,Over,Under,
EGYPT 2,2.5,Under,Under,Over,
ENGLAND 1,2.5,Over,Under,Under,
ENGLAND 2,2.5,Under,Over,Over,
ENGLAND 3,2.5,Over,Under,Under,
ENGLAND 4,2.5,Over,Over,Over,Over
ENGLAND 5,2.5,Over,Over,Under,
ENGLAND CUP,2.5,Over,Under,Under,
ESTONIA 1,2.5,Under,Over,Over,
ESTONIA 2,2.5,Under,Over,Over,
EUROPA CHAMPIONS LEAGUE,2.5,Over,Over,Over,Over
EUROPA CONFERENCE LEAGUE,2.5,Over,Under,Under,
EUROPA LEAGUE,2.5,Over,Under,Over,
FINLAND 1,2.5,Under,Under,Over,
FINLAND 2,2.5,Under,Under,Over,
FRANCE 1,2.5,Over,Over,Over,Over
FRANCE 2,2.5,Under,Over,Under,
FRANCE 3,2.5,Over,Under,Over,
FRANCE 4,2.5,Over,Under,Over,
FRANCE CUP,2.5,Over,Over,Over,Over
GERMANY 1,2.5,Under,Under,Over,
GERMANY 2,2.5,Under,Over,Under,
GERMANY 3,2.5,Under,Over,Over,
GERMANY CUP,2.5,Over,Under,Over,
GREECE 1,2.5,Over,Under,Over,
GREECE 2,2.5,Over,Under,Over,
ICELAND 1,2.5,Under,Over,Over,
ICELAND 2,2.5,Over,Under,Over,
IRELAND 1,2.5,Over,Under,Under,
IRELAND 2,2.5,Over,Under,Over,
ISRAEL 1,2.5,Over,Over,Over,Over
ISRAEL 2,2.5,Under,Under,Over,
ITALY 1,2.5,Under,Under,Under,Under
ITALY 2,2.5,Under,Over,Under,
ITALY 3,2.5,Over,Under,Over,
ITALY 4,2.5,Over,Over,Under,
ITALY CUP,2.5,Under,Over,Over,
JAPAN 1,2.5,Over,Under,Under,
JAPAN 2,2.5,Over,Over,Over,Over
JAPAN 3,2.5,Under,Over,Over,
MEXICO 1,2.5,Over,Under,Under,
MEXICO 2,2.5,Under,Under,Under,Under
NETHERLANDS 1,2.5,Over,Over,Under,
NETHERLANDS 2,2.5,Over,Over,Over,Over
NETHERLANDS CUP,2.5,Under,Over,Over,
NORTHERN IRELAND 1,2.5,Over,Under,Over,
NORTHERN IRELAND 2,2.5,Over,Under,Under,
NORWAY 1,2.5,Over,Over,Under,
NORWAY 2,2.5,Over,Under,Over,
PARAGUAY 1,2.5,Under,Over,Over,
PARAGUAY 2,2.5,Over,Over,Under,
PERU 1,2.5,Under,Over,Over,
PERU 2,2.5,Over,Over,Under,
POLAND 1,2.5,Under,Under,Under,Under
POLAND 2,2.5,Over,Over,Under,
PORTUGAL 1,2.5,Over,Under,Under,
PORTUGAL 2,2.5,Over,Under,Under,
PORTUGAL 3,2.5,Over,Under,Over,
PORTUGAL CUP,2.5,Over,Over,Over,Over
ROMANIA 1,2.5,Over,Under,Under,
ROMANIA 2,2.5,Under,Over,Under,
SAUDI ARABIA 1,2.5,Under,Under,Under,Under
SAUDI ARABIA 2,2.5,Over,Under,Over,
SCOTLAND 1,2.5,Under,Over,Under,
SCOTLAND 2,2.5,Under,Over,Under,
SCOTLAND 3,2.5,Under,Under,Over,
SCOTLAND 4,2.5,Over,Over,Under,
SCOTLAND CUP,2.5,Over,Under,Over,
SERBIA 1,2.5,Under,Over,Under,
SERBIA 2,2.5,Over,Under,Under,
SLOVAKIA 1,2.5,Under,Under,Under,Under
SLOVAKIA 2,2.5,Under,Over,Under,
SLOVENIA 1,2.5,Under,Over,Under,
SLOVENIA 2,2.5,Over,Over,Under,
SOUTH AFRICA 1,2.5,Under,Under,Under,Under
SOUTH AFRICA 2,2.5,Over,Over,Over,Over
SOUTH KOREA 1,2.5,Over,Under,Under,
SOUTH KOREA 2,2.5,Over,Over,Under,
SPAIN 1,2.5,Over,Over,Over,Over
SPAIN 2,2.5,Under,Under,Over,
SPAIN 3,2.5,Under,Over,Over,
SPAIN 4,2.5,Under,Over,Under,
SPAIN CUP,2.5,Under,Under,Over,
SWEDEN 1,2.5,Under,Under,Over,
SWEDEN 2,2.5,Over,Under,Under,
SWITZERLAND 1,2.5,Under,Under,Under,Under
SWITZERLAND 2,2.5,Under,Over,Over,
TURKEY 1,2.5,Under,Over,Over,
TURKEY 2,2.5,Over,Under,Over,
TURKEY CUP,2.5,Over,Under,Under,
UKRAINE 1,2.5,Over,Over,Over,Over
UKRAINE 2,2.5,Over,Under,Under,
URUGUAY 1,2.5,Over,Under,Under,
URUGUAY 2,2.5,Over,Under,Over,
USA 1,2.5,Over,Under,Under,
USA 2,2.5,Over,Under,Over,
VENEZUELA 1,2.5,Over,Over,Under,
VENEZUELA 2,2.5,Under,Under,Under,Under
WALES 1,2.5,Over,Under,Under,
WALES CUP,2.5,Over,Over,Under,
WOM BRAZIL 1,2.5,Under,Under,Over,
WOM ENGLAND 1,2.5,Under,Under,Over,
WOM FRANCE 1,2.5,Under,Over,Under,
WOM GERMANY 1,2.5,Over,Over,Over,Over
WOM ITALY 1,2.5,Over,Over,Under,
WOM SPAIN 1,2.5,Over,Under,Under,
WOM USA 1,2.5,Under,Over,Under,
WORLD AMERICA CUP,2.5,Under,Under,Over,
WORLD EUROCUP,2.5,Over,Over,Over,Over
WORLD UEFA NATIONS LEAGUE,2.5,Over,Under,Over,
WORLD WORLD CUP,2.5,Over,Over,Over,Over
ARGENTINA 1,3.5,Under,Over,Under,
ARGENTINA 2,3.5,Over,Under,Under,
ARGENTINA 3,3.5,Under,Under,Over,
ARGENTINA CUP,3.5,Under,Under,Over,
AUSTRALIA 1,3.5,Under,Over,Under,
AUSTRIA 1,3.5,Over,Over,Over,Over
AUSTRIA 2,3.5,Under,Under,Under,Under
BELGIUM 1,3.5,Under,Under,Under,Under
BELGIUM 2,3.5,Over,Under,Under,
BOLIVIA 1,3.5,Under,Over,Over,
BOLIVIA CUP,3.5,Over,Under,Over,
BOSNIA 1,3.5,Over,Under,Over,
BOSNIA 2,3.5,Under,Under,Over,
BRAZIL 1,3.5,Under,Under,Under,Under
BRAZIL 2,3.5,Under,Under,Under,Under
BRAZIL 3,3.5,Under,Over,Over,
BRAZIL 4,3.5,Over,Under,Under,
BRAZIL CUP,3.5,Under,Over,Under,
BULGARIA 1,3.5,Over,Under,Under,
BULGARIA 2,3.5,Under,Over,Under,
CHILE 1,3.5,Under,Over,Over,
CHILE 2,3.5,Under,Under,Over,
CHILE CUP,3.5,Under,Over,Over,
CHINA 1,3.5,Over,Over,Over,Over
CHINA 2,3.5,Over,Under,Under,
COLOMBIA 1,3.5,Under,Under,Over,
COLOMBIA 2,3.5,Under,Under,Over,
COPA LIBERTADORES,3.5,Over,Under,Under,
COPA SUDAMERICANA,3.5,Over,Under,Under,
CROATIA 1,3.5,Over,Over,Under,
CROATIA 2,3.5,Under,Over,Under,
CYPRUS 1,3.5,Under,Under,Over,
CYPRUS 2,3.5,Under,Under,Under,Under
CZECH 1,3.5,Over,Under,Over,
CZECH 2,3.5,Under,Over,Under,
DENMARK 1,3.5,Over,Under,Under,
DENMARK 2,3.5,Over,Over,Under,
ECUADOR 1,3.5,Under,Under,Under,Under
ECUADOR 2,3.5,Under,Under,Over,
ECUADOR CUP,3.5,Over,Under,Over,
EGYPT 1,3.5,Over,Under,Over,
EGYPT 2,3.5,Over,Over,Under,
ENGLAND 1,3.5,Over,Under,Under,
ENGLAND 2,3.5,Under,Under,Over,
ENGLAND 3,3.5,Over,Under,Over,
ENGLAND 4,3.5,Under,Over,Over,
ENGLAND 5,3.5,Over,Over,Under,
ENGLAND CUP,3.5,Under,Over,Under,
ESTONIA 1,3.5,Under,Under,Over,
ESTONIA 2,3.5,Under,Over,Under,
EUROPA CHAMPIONS LEAGUE,3.5,Over,Over,Under,
EUROPA CONFERENCE LEAGUE,3.5,Under,Under,Over,
EUROPA LEAGUE,3.5,Over,Under,Over,
FINLAND 1,3.5,Over,Over,Under,
FINLAND 2,3.5,Over,Under,Over,
FRANCE 1,3.5,Under,Over,Over,
FRANCE 2,3.5,Under,Under,Under,Under
FRANCE 3,3.5,Over,Over,Over,Over
FRANCE 4,3.5,Over,Under,Over,
FRANCE CUP,3.5,Under,Over,Under,
GERMANY 1,3.5,Under,Under,Under,Under
