Data,Hora,Liga,Jogo,Home,Away,Método,Mercado,Lado,Odd_Entrada,Odd_Fav,Placar,Resultado,1/0,Status,PnL_u,P/L,Passa_Filtro_Refinado,Detalhe_Filtro
2026-08-26,15:00,BOLIVIA 1,Real Potosi x Real Tomayapo,Real Potosi,Real Tomayapo,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.9,1.34,?,GREEN,1.0,🟢 GREEN,0.1969,0.1969,False,Over3.5=2.48 (<2.54)
2026-08-26,15:00,ARGENTINA 2,CA Colegiales x FC Midland,CA Colegiales,FC Midland,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.6,2.42,,PENDENTE,,⏳ PENDENTE,0.0,0.0,False,Over3.5=1.05 (<2.54)
2026-08-26,15:00,BOLIVIA 1,Blooming Santa Cruz x CDT Real Oruro,Blooming Santa Cruz,CDT Real Oruro,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.2,1.36,?,RED,0.0,🔴 RED,-1.0,-1.0,False,Over3.5=1.67 (<2.54)
2026-08-26,15:00,COPA SUDAMERICANA,River Plate x Santa Fe,River Plate,Santa Fe,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.2,1.36,?,RED,0.0,🔴 RED,-1.0,-1.0,True,Over3.5=4.30 (>=2.54)
2026-08-26,15:00,ENGLAND CUP,Preston x Everton,Preston,Everton,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,7.2,1.55,0x4,GREEN,1.0,🟢 GREEN,0.1556,0.1556,True,"Away=1.55 ([1.54, 1.65])"
2026-08-26,15:00,ARGENTINA 2,Patronato x CA Atlanta,Patronato,CA Atlanta,Lay Over 4.5 FT (Under Pesado),Over/Under 4.5 FT,LAY,19.5,2.5,2x0,GREEN,1.0,🟢 GREEN,0.0522,0.0522,True,Under <= 1.50
2026-08-27,15:00,EUROPA CONFERENCE LEAGUE,Freiburg x Motherwell,Freiburg,Motherwell,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,9.2,1.2,?,GREEN,1.0,🟢 GREEN,0.1177,0.1177,False,Over3.5=2.18 (<2.54)
2026-08-27,15:00,EUROPA CONFERENCE LEAGUE,FC Copenhagen x FC Inter Turku,FC Copenhagen,FC Inter Turku,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.4,1.31,?,GREEN,1.0,🟢 GREEN,0.1787,0.1787,False,Over3.5=2.46 (<2.54)
2026-08-27,15:00,EUROPA CONFERENCE LEAGUE,Pafos FC x Dinamo Tirana,Pafos FC,Dinamo Tirana,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.2,1.32,?,GREEN,1.0,🟢 GREEN,0.1856,0.1856,True,Over3.5=2.72 (>=2.54)
2026-08-27,15:00,EUROPA LEAGUE,FK Kauno Zalgiris x Besiktas,FK Kauno Zalgiris,Besiktas,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.4,9.6,1x0,GREEN,1.0,🟢 GREEN,0.2193,0.2193,True,Over3.5=3.05 (>=2.54)
2026-08-27,15:00,EUROPA LEAGUE,Red Bull Salzburg x Mjallby,Red Bull Salzburg,Mjallby,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.6,1.25,?,GREEN,1.0,🟢 GREEN,0.1462,0.1462,False,Over3.5=2.20 (<2.54)
2026-08-27,15:00,EUROPA CONFERENCE LEAGUE,Ajax x Sion,Ajax,Sion,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.6,1.36,?,GREEN,1.0,🟢 GREEN,0.1723,0.1723,False,Over3.5=1.84 (<2.54)
2026-08-27,15:00,ENGLAND CUP,Chelsea x Luton,Chelsea,Luton,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,10.0,1.17,2x0,GREEN,1.0,🟢 GREEN,0.1072,0.1072,False,Over3.5=1.87 (<2.54)
2026-08-27,15:00,EUROPA CONFERENCE LEAGUE,Brighton x Tromso,Brighton,Tromso,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.6,1.23,?,GREEN,1.0,🟢 GREEN,0.1462,0.1462,False,Over3.5=2.30 (<2.54)
2026-08-27,15:00,EUROPA LEAGUE,Anderlecht x Kairat Almaty,Anderlecht,Kairat Almaty,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.6,1.39,?,GREEN,1.0,🟢 GREEN,0.2098,0.2098,True,Over3.5=2.90 (>=2.54)
2026-08-27,15:00,BOLIVIA 1,Always Ready x Aurora,Always Ready,Aurora,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.2,1.28,?,RED,0.0,🔴 RED,-1.0,-1.0,False,Over3.5=2.08 (<2.54)
2026-08-27,15:00,ENGLAND CUP,Fulham x AFC Wimbledon,Fulham,AFC Wimbledon,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.8,1.24,?,GREEN,1.0,🟢 GREEN,0.1419,0.1419,False,Over3.5=2.08 (<2.54)
2026-08-27,15:00,SPAIN 1,Barcelona x Athletic Bilbao,Barcelona,Athletic Bilbao,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.8,1.25,?,GREEN,1.0,🟢 GREEN,0.1419,0.1419,False,Over3.5=2.02 (<2.54)
2026-08-27,15:00,EUROPA LEAGUE,FK Kauno Zalgiris x Besiktas,FK Kauno Zalgiris,Besiktas,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,10.0,1.4,1x0,RED,0.0,🔴 RED,-1.0,-1.0,False,Away=1.40 (fora da faixa)
2026-08-27,15:00,EUROPA CONFERENCE LEAGUE,Hapoel Tel Aviv x Atalanta,Hapoel Tel Aviv,Atalanta,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,7.6,1.51,0x1,GREEN,1.0,🟢 GREEN,0.1462,0.1462,False,Away=1.51 (fora da faixa)
2026-08-27,15:00,EUROPA LEAGUE,AGF x Benfica,AGF,Benfica,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,8.0,1.44,1x3,GREEN,1.0,🟢 GREEN,0.1379,0.1379,False,Away=1.44 (fora da faixa)
2026-08-27,15:00,PARAGUAY CUP,Resistencia SC x Cerro Porteno,Resistencia SC,Cerro Porteno,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,10.0,1.42,0x1,GREEN,1.0,🟢 GREEN,0.1072,0.1072,False,Away=1.42 (fora da faixa)
2026-08-27,15:00,ARGENTINA CUP,CA Platense x Instituto,CA Platense,Instituto,Lay Over 4.5 FT (Under Pesado),Over/Under 4.5 FT,LAY,18.0,3.95,1x1,GREEN,1.0,🟢 GREEN,0.0568,0.0568,True,Under <= 1.50
2026-08-28,15:00,SAUDI ARABIA 1,Al-Khaleej Saihat x Al-Hilal,Al-Khaleej Saihat,Al-Hilal,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.6,11.5,1x5,GREEN,1.0,🟢 GREEN,0.1723,0.1723,False,Over3.5=2.52 (<2.54)
2026-08-28,15:00,SAUDI ARABIA 1,Al Nassr x Al-Taawoun Buraidah,Al Nassr,Al-Taawoun Buraidah,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.29,?,GREEN,1.0,🟢 GREEN,0.1664,0.1664,False,Over3.5=1.98 (<2.54)
2026-08-28,15:00,GERMANY 1,Bayern Munich x Stuttgart,Bayern Munich,Stuttgart,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,8.4,1.25,?,GREEN,1.0,🟢 GREEN,0.1304,0.1304,False,Over3.5=1.49 (<2.54)
2026-08-28,15:00,IRELAND 2,Cork City x Wexford F.C,Cork City,Wexford F.C,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.6,1.33,?,GREEN,1.0,🟢 GREEN,0.1723,0.1723,False,Over3.5=2.22 (<2.54)
2026-08-28,15:00,IRELAND 2,UCD x Finn Harps,UCD,Finn Harps,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,8.0,1.25,?,GREEN,1.0,🟢 GREEN,0.1379,0.1379,False,Over3.5=1.99 (<2.54)
2026-08-28,15:00,IRELAND 1,Bohemians x Sligo Rovers,Bohemians,Sligo Rovers,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.28,?,GREEN,1.0,🟢 GREEN,0.1664,0.1664,False,Over3.5=2.40 (<2.54)
2026-08-28,15:00,IRELAND 1,St Patricks x Waterford,St Patricks,Waterford,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.7,1.4,?,GREEN,1.0,🟢 GREEN,0.2053,0.2053,False,Over3.5=2.44 (<2.54)
2026-08-28,15:00,WALES 1,Holywell Town x Caernarfon Town,Holywell Town,Caernarfon Town,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,8.6,12.5,3x5,GREEN,1.0,🟢 GREEN,0.127,0.127,False,Over3.5=2.04 (<2.54)
