Data,Metodo,Home,Away,Odd,placar_gravado,placar_verificado,fonte,resultado_gravado,resultado_verificado,pnl_gravado,pnl_verificado,placar_bate,resultado_bate
2026-09-07,Lay Over 4.5 FT (Under Pesado),Al Ittihad (EGY),Asyut Petroleum,20.0,1x0,,,GREEN,SEM_PLACAR,0.05,,,
2026-09-07,Lay Draw (Fav <= 1.40),Pafos FC,Olympiakos Nicosia FC,5.7,0x0,,,RED,SEM_PLACAR,-1.0,,,
2026-09-07,Lay Draw (Fav <= 1.40),Hapoel Tel Aviv,Hapoel Ramat Gan,5.9,3x0,,,GREEN,SEM_PLACAR,0.1939,,,
2026-09-07,Lay Draw (Fav <= 1.40),Al-Hilal,NEOM Sports Club,7.8,0x2,,,GREEN,SEM_PLACAR,0.1397,,,
2026-09-07,Lay Over 4.5 FT (Under Pesado),Nueva Chicago,Quilmes,19.0,1x0,,,GREEN,SEM_PLACAR,0.0528,,,
2026-09-08,Lay Home / DC X2 (Fav Visitante <= 1.65),Trans Narva,Tallinna FC Flora,6.4,2x2,,,GREEN,SEM_PLACAR,0.1759,,,
2026-09-08,Lay Draw (Fav <= 1.40),Nomme Kalju,Nomme Utd,6.2,1x2,,,GREEN,SEM_PLACAR,0.1827,,,
2026-09-08,Lay Draw (Fav <= 1.40),Bournemouth,Lincoln,6.6,3x0,,,GREEN,SEM_PLACAR,0.1696,,,
2026-09-08,Lay Home / DC X2 (Fav Visitante <= 1.65),Millwall,Newcastle,7.4,0x1,,,GREEN,SEM_PLACAR,0.1484,,,
2026-09-08,Lay Over 4.5 FT (Under Pesado),Criciuma,Juventude,20.0,0x2,,,GREEN,SEM_PLACAR,0.05,,,
2026-09-08,Lay Draw (Fav <= 1.40),Internacional de Palmira,Atletico FC Cali,5.8,0x1,,,GREEN,SEM_PLACAR,0.1979,,,
2026-09-09,Lay Draw (Fav <= 1.40),FCI Tallinn,Kuressaare,10.0,3x0,,,GREEN,SEM_PLACAR,0.1056,,,
2026-09-09,Lay Draw (Fav <= 1.40),FC Twente,SC Telstar,7.6,1x0,,,GREEN,SEM_PLACAR,0.1439,,,
2026-09-09,Lay Draw (Fav <= 1.40),Stuttgart,Viking,7.4,3x1,,,GREEN,SEM_PLACAR,0.1484,,,
2026-09-09,Lay Draw (Fav <= 1.40),Al Mokawloon,Al Ahly Cairo,5.1,1x1,,,RED,SEM_PLACAR,-1.0,,,
2026-09-09,Lay Draw (Fav <= 1.40),Mamelodi Sundowns,Siwelele FC,6.8,3x0,,,GREEN,SEM_PLACAR,0.1638,,,
2026-09-09,Lay Draw (Fav <= 1.40),Rangers,St Mirren,6.2,1x0,,,GREEN,SEM_PLACAR,0.1827,,,
2026-09-09,Lay Home / DC X2 (Fav Visitante <= 1.65),St Johnstone,Celtic,6.6,0x1,,,GREEN,SEM_PLACAR,0.1696,,,
2026-09-09,Lay Draw (Fav <= 1.40),Vancouver Whitecaps,LA Galaxy,6.4,3x0,,,GREEN,SEM_PLACAR,0.1759,,,
