Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-06,09:30:00,NORWAY 2,Asane x Moss,Lay_CS_1x0_B365,12.5,12.5,1.0
2026-04-06,13:00:00,IRELAND 2,Athlone Town x Longford,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-06,13:00:00,IRELAND 2,Athlone Town x Longford,Lay_CS_1x0_B365,9.8,9.8,1.0
2026-04-06,09:30:00,ITALY 3,Aurora Pro Patria 1919 x Triestina,Lay_CS_0x1_B365,10.0,10.0,1.0
2026-04-06,09:30:00,ITALY 3,Aurora Pro Patria 1919 x Triestina,Lay_CS_1x0_B365,12.0,12.0,1.0
2026-04-06,16:45:00,PORTUGAL 1,Casa Pia x Benfica,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-06,07:30:00,ITALY 3,FC Giugliano x Crotone,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-06,07:30:00,ITALY 3,FC Giugliano x Crotone,Lay_CS_1x0_B365,13.5,13.5,0.0
2026-04-06,09:30:00,ITALY 3,Giana Erminio x SSD Dolomiti Bellunesi,Lay_CS_0x1_B365,14.0,14.0,1.0
2026-04-06,09:30:00,ITALY 3,Giana Erminio x SSD Dolomiti Bellunesi,Lay_CS_1x0_B365,7.8,7.8,1.0
2026-04-06,21:00:00,BRAZIL 2,Goias x Criciuma,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-06,21:00:00,BRAZIL 2,Goias x Criciuma,Lay_CS_1x0_B365,7.2,7.2,0.0
2026-04-06,09:00:00,SWITZERLAND 1,Grasshoppers Zurich x Sion,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-06,12:00:00,NORWAY 1,Ham-Kam x Brann,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-06,14:30:00,ISRAEL 1,Hapoel Tel Aviv x Maccabi Haifa,Lay_CS_0x1_B365,14.5,14.5,1.0
2026-04-06,14:30:00,ISRAEL 1,Hapoel Tel Aviv x Maccabi Haifa,Lay_CS_1x0_B365,15.0,15.0,1.0
2026-04-06,07:15:00,NETHERLANDS 2,Helmond Sport x RKC Waalwijk,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-06,21:00:00,CHILE 1,Huachipato x Univ de Concepcion,Lay_CS_0x1_B365,12.5,12.5,1.0
2026-04-06,21:00:00,CHILE 1,Huachipato x Univ de Concepcion,Lay_CS_1x0_B365,10.5,10.5,1.0
2026-04-06,21:15:00,ARGENTINA 1,Instituto x Defensa y Justicia,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-06,21:15:00,ARGENTINA 1,Instituto x Defensa y Justicia,Lay_CS_1x0_B365,7.2,7.2,1.0
2026-04-06,14:00:00,TURKEY 1,Kocaelispor x Basaksehir,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-06,14:00:00,TURKEY 1,Kocaelispor x Basaksehir,Lay_CS_1x0_B365,13.0,13.0,1.0
2026-04-06,07:15:00,POLAND 1,Nieciecza x Piast Gliwice,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-06,07:15:00,POLAND 1,Nieciecza x Piast Gliwice,Lay_CS_1x0_B365,14.0,14.0,1.0
2026-04-06,14:00:00,PORTUGAL 2,Porto B x Chaves,Lay_CS_0x1_B365,8.8,8.8,1.0
2026-04-06,14:00:00,PORTUGAL 2,Porto B x Chaves,Lay_CS_1x0_B365,11.5,11.5,1.0
