Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2026-04-05,19:30:00,BRAZIL 1,Corinthians x Internacional,Lay_CS_0x1_B365,11.5,11.5,0.0,11.5,0.0,11.5,,2026-04-05,EXECUTED,,-154.00714285714287,-348.556523581287,500.0,500.0,-348.556523581287,0.3,Fase_1_30pct
2026-04-06,07:15:00,POLAND 1,Nieciecza x Piast Gliwice,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-06,EXECUTED,,14.763157894736842,-333.7933656865502,500.0,514.7631578947369,-333.7933656865502,0.3,Fase_1_30pct
2026-04-06,07:30:00,ITALY 3,FC Giugliano x Crotone,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-06,EXECUTED,,14.43910657894737,-319.35425910760284,500.0,529.2022644736843,-319.35425910760284,0.3,Fase_1_30pct
2026-04-06,09:00:00,SWITZERLAND 1,Grasshoppers Zurich x Sion,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,14.137260493796994,-305.21699861380586,500.0,543.3395249674813,-305.21699861380586,0.3,Fase_1_30pct
2026-04-06,09:00:00,SWITZERLAND 2,Stade Nyonnais x Yverdon Sport,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,14.514927309845572,-290.7020713039603,500.0,557.8544522773269,-290.7020713039603,0.3,Fase_1_30pct
2026-04-06,09:00:00,DENMARK 1,Vejle x Randers,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-06,EXECUTED,,15.64781738637902,-275.05425391758126,500.0,573.502269663706,-275.05425391758126,0.3,Fase_1_30pct
2026-04-06,09:30:00,ITALY 3,Aurora Pro Patria 1919 x Triestina,Lay_CS_0x1_B365,10.0,10.0,1.0,10.0,1.0,10.0,,2026-04-06,EXECUTED,,17.874154071185504,-257.18009984639576,500.0,591.3764237348915,-257.18009984639576,0.3,Fase_1_30pct
2026-04-06,09:30:00,ITALY 3,Salernitana x Benevento,Lay_CS_0x1_B365,9.4,9.4,0.0,9.4,0.0,9.4,,2026-04-06,EXECUTED,,-177.41292712046746,-434.59302696686325,500.0,500.0,-434.59302696686325,0.3,Fase_1_30pct
2026-04-06,12:00:00,NORWAY 1,Ham-Kam x Brann,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-06,EXECUTED,,14.763157894736842,-419.8298690721264,500.0,514.7631578947369,-419.8298690721264,0.3,Fase_1_30pct
2026-04-06,12:30:00,ITALY 3,Albinoleffe x Pergolettese,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,13.751530075187972,-406.07833899693844,500.0,528.5146879699248,-406.07833899693844,0.3,Fase_1_30pct
2026-04-06,14:00:00,TURKEY 1,Kocaelispor x Basaksehir,Lay_CS_0x1_B365,9.8,9.8,1.0,9.8,1.0,9.8,,2026-04-06,EXECUTED,,16.846405679041354,-389.2319333178971,500.0,545.3610936489662,-389.2319333178971,0.3,Fase_1_30pct
2026-04-06,14:00:00,PORTUGAL 2,Porto B x Chaves,Lay_CS_0x1_B365,8.8,8.8,1.0,8.8,1.0,8.8,,2026-04-06,EXECUTED,,19.612023944683976,-369.6199093732131,500.0,564.9731175936502,-369.6199093732131,0.3,Fase_1_30pct
2026-04-06,16:45:00,PORTUGAL 1,Casa Pia x Benfica,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-06,EXECUTED,,16.681574682633567,-352.9383346905795,500.0,581.6546922762838,-352.9383346905795,0.3,Fase_1_30pct
2026-04-06,21:00:00,BRAZIL 2,Goias x Criciuma,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,15.53848963652358,-337.3998450540559,500.0,597.1931819128073,-337.3998450540559,0.3,Fase_1_30pct
2026-04-06,21:15:00,ARGENTINA 1,Instituto x Defensa y Justicia,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,15.953589288242137,-321.44625576581376,500.0,613.1467712010494,-321.44625576581376,0.3,Fase_1_30pct
2026-04-07,14:00:00,POLAND 1,Arka Gdynia x Zaglebie Lubin,Lay_CS_0x1_B365,9.8,9.8,1.0,9.8,1.0,9.8,,2026-04-07,EXECUTED,,19.54405333203345,-301.9022024337803,500.0,632.6908245330828,-301.9022024337803,0.3,Fase_1_30pct
2026-04-07,14:00:00,GERMANY 3,Duisburg x VfL Osnabruck,Lay_CS_0x1_B365,9.2,9.2,1.0,9.2,1.0,9.2,,2026-04-07,EXECUTED,,21.642655644088993,-280.2595467896913,500.0,654.3334801771719,-280.2595467896913,0.3,Fase_1_30pct
2026-04-07,16:00:00,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,8.4,8.4,1.0,8.4,1.0,8.4,,2026-04-07,EXECUTED,,24.8027758364455,-255.45677095324578,500.0,679.1362560136173,-255.45677095324578,0.3,Fase_1_30pct
2026-04-07,16:01:00,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,8.6,8.6,1.0,8.6,1.0,8.6,,2026-04-07,EXECUTED,,25.06548944892364,-230.39128150432214,500.0,704.2017454625409,-230.39128150432214,0.3,Fase_1_30pct
2026-04-08,14:00:00,TURKEY 1,Goztepe x Galatasaray,Lay_CS_0x1_B365,8.8,8.8,1.0,8.8,1.0,8.8,,2026-04-08,EXECUTED,,25.32417815413368,-205.06710335018846,500.0,729.5259236166746,-205.06710335018846,0.3,Fase_1_30pct
2026-04-09,13:00:00,SAUDI ARABIA 1,Dhamk x Al-Quadisiya (KSA),Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-09,EXECUTED,,38.97752791894804,-166.0895754312404,500.0,768.5034515356226,-166.0895754312404,0.6,Fase_2_60pct
2026-04-10,15:00:00,FRANCE 2,Annecy x Montpellier,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-10,EXECUTED,,45.382151190682556,-120.70742424055786,500.0,813.8856027263051,-120.70742424055786,0.6,Fase_2_60pct
2026-04-10,15:00:00,FRANCE 2,Clermont x Nancy,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-10,EXECUTED,,45.658982312945724,-75.04844192761213,500.0,859.5445850392508,-75.04844192761213,0.6,Fase_2_60pct
2026-04-11,10:30:00,GERMANY 1,FC Heidenheim x Union Berlin,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,45.9242392578114,-29.12420266980073,500.0,905.4688242970623,-29.12420266980073,0.6,Fase_2_60pct
2026-04-11,11:15:00,SPAIN 1,Elche x Valencia,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,48.37790575530018,19.253703085499453,500.0,953.8467300523624,19.253703085499453,0.6,Fase_2_60pct
2026-04-11,11:15:00,SPAIN 1,Elche x Valencia,Lay_CS_1x0_B365,10.0,10.0,0.0,10.0,0.0,10.0,,2026-04-11,EXECUTED,,-572.3080380314175,-553.0543349459181,500.0,500.0,-553.0543349459181,0.6,Fase_2_60pct
2026-04-11,13:00:00,SAUDI ARABIA 1,Al Najma Club x NEOM Sports Club,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,26.71428571428572,-526.3400492316324,500.0,526.7142857142857,-526.3400492316324,0.6,Fase_2_60pct
2026-04-11,13:30:00,GERMANY 1,St Pauli x Bayern Munich,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-11,EXECUTED,,31.103864661654136,-495.23618456997826,500.0,557.8181503759398,-495.23618456997826,0.6,Fase_2_60pct
2026-04-11,16:30:00,BRAZIL 1,Remo x Vasco Da Gama,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-11,EXECUTED,,31.293598236090226,-463.942586333888,500.0,589.11174861203,-463.942586333888,0.6,Fase_2_60pct
2026-04-11,17:15:00,ARGENTINA 1,Estudiantes x Union Santa Fe,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-11,EXECUTED,,34.78859904961567,-429.1539872842724,500.0,623.9003476616457,-429.1539872842724,0.6,Fase_2_60pct
2026-04-11,19:30:00,ARGENTINA 1,Boca Juniors x CA Independiente,Lay_CS_0x1_B365,9.8,9.8,1.0,9.8,1.0,9.8,,2026-04-11,EXECUTED,,39.77364716342991,-389.38034012084245,500.0,663.6739948250756,-389.38034012084245,0.6,Fase_2_60pct
2026-04-13,09:30:00,ROMANIA 1,FC Metaloglobus Bucuresti x Csikszereda,Lay_CS_0x1_B365,10.5,10.5,0.0,10.5,0.0,10.5,,2026-04-13,EXECUTED,,-398.20439689504536,-787.5847370158879,500.0,500.0,-787.5847370158879,0.6,Fase_2_60pct
2026-04-13,13:05:00,SAUDI ARABIA 1,Al Bukayriyah x Al-Anwar Club,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-13,EXECUTED,,26.71428571428572,-760.8704513016022,500.0,526.7142857142857,-760.8704513016022,0.6,Fase_2_60pct
2026-04-13,14:00:00,TURKEY 1,Eyupspor x Samsunspor,Lay_CS_0x1_B365,8.8,8.8,1.0,8.8,1.0,8.8,,2026-04-13,EXECUTED,,37.88291208791208,-722.9875392136901,500.0,564.5971978021978,-722.9875392136901,0.6,Fase_2_60pct
2026-04-13,14:00:00,PORTUGAL 2,Lusitania Futebol Clube x Porto B,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-13,EXECUTED,,31.6739027967033,-691.3136364169868,500.0,596.2711005989011,-691.3136364169868,0.6,Fase_2_60pct
2026-04-13,14:30:00,SAUDI ARABIA 1,Al-Zulfi SC x Al Draih,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-13,EXECUTED,,31.857913089141285,-659.4557233278455,500.0,628.1290136880424,-659.4557233278455,0.6,Fase_2_60pct
2026-04-13,15:30:00,ITALY 3,Crotone x Catania,Lay_CS_0x1_B365,9.8,9.8,1.0,9.8,1.0,9.8,,2026-04-13,EXECUTED,,40.0432246226127,-619.4124987052328,500.0,668.1722383106551,-619.4124987052328,0.6,Fase_2_60pct
