Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase,Profile_Mode,Mult_Metodo,Mult_Odd_Band,Mult_Intradia,Stake_Final_Aplicada
2026-04-05,00:00,ITALY 1,US Cremonese x Bologna,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-05,EXECUTED,,18.8359011627907,-1.8959415984985135,500.0,518.8359011627907,-1.8959415984985135,0.3,Fase_1_30pct,moderado,1.1,1.05,1.0,173.25
2026-04-05,00:00,GERMANY 1,Union Berlin x St Pauli,Lay_CS_0x1_B365,12.5,12.5,1.0,12.5,1.0,12.5,,2026-04-05,EXECUTED,,13.920592809024267,12.024651210525754,500.0,532.756493971815,12.024651210525754,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,171.21584738372093
2026-04-05,00:00,ITALY 1,Pisa x Torino,Lay_CS_0x1_B365,8.6,8.6,0.0,8.6,0.0,8.6,,2026-04-05,EXECUTED,,-193.39060731176886,-181.3659561012431,500.0,500.0,-181.3659561012431,0.3,Fase_1_30pct,moderado,1.1,1.1,1.0,193.39060731176886
2026-04-06,00:00,NETHERLANDS 2,Helmond Sport x RKC Waalwijk,Lay_CS_0x1_B365,13.5,13.5,1.0,13.5,1.0,13.5,,2026-04-06,EXECUTED,,12.342,-169.0239561012431,500.0,512.342,-169.0239561012431,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,165.0
2026-04-06,00:00,SWITZERLAND 1,Grasshoppers Zurich x Sion,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-06,EXECUTED,,15.055535628571427,-153.96842047267168,500.0,527.3975356285714,-153.96842047267168,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,169.07286
2026-04-06,00:00,DENMARK 1,Vejle x Randers,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-06,EXECUTED,,16.27285096181957,-137.69556951085212,500.0,543.670386590391,-137.69556951085212,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,174.04118675742856
2026-04-06,00:00,ITALY 2,Reggiana x Pescara,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-06,EXECUTED,,18.54073396543036,-119.15483554542176,500.0,562.2111205558214,-119.15483554542176,0.3,Fase_1_30pct,moderado,1.1,1.05,1.0,188.3817889535705
2026-04-06,00:00,DENMARK 1,Viborg x AGF,Lay_CS_0x1_B365,12.0,12.0,1.0,12.0,1.0,12.0,,2026-04-06,EXECUTED,,15.77002193159079,-103.38481361383097,500.0,577.9811424874122,-103.38481361383097,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,185.52966978342107
2026-04-07,00:00,GERMANY 3,Duisburg x VfL Osnabruck,Lay_CS_0x1_B365,9.2,9.2,1.0,9.2,1.0,9.2,,2026-04-07,EXECUTED,,22.835717754904348,-80.54909585892662,500.0,600.8168602423165,-80.54909585892662,0.3,Fase_1_30pct,moderado,1.1,1.05,1.0,200.27046587188835
2026-04-07,00:00,GERMANY 3,Schweinfurt x Rot-Weiss Essen,Lay_CS_0x1_B365,12.5,12.5,1.0,12.5,1.0,12.5,,2026-04-07,EXECUTED,,16.1201775850232,-64.42891827390342,500.0,616.9370378273396,-64.42891827390342,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,198.26956387996447
2026-04-07,00:00,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,8.6,8.6,0.0,8.6,0.0,8.6,,2026-04-07,EXECUTED,,-223.94814473132433,-288.37706300522774,500.0,500.0,-288.37706300522774,0.3,Fase_1_30pct,moderado,1.1,1.1,1.0,223.94814473132433
2026-04-10,00:00,SLOVENIA 1,NK Primorje x Koper,Lay_CS_0x1_B365,13.5,13.5,1.0,13.5,1.0,13.5,,2026-04-10,EXECUTED,,12.342,-276.03506300522776,500.0,512.342,-276.03506300522776,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,165.0
2026-04-10,00:00,FRANCE 3,Sochaux x Fleury Merogis,Lay_CS_0x1_B365,19.5,19.5,1.0,19.5,1.0,19.5,,2026-04-10,EXECUTED,,8.545033735135135,-267.49002927009263,500.0,520.8870337351351,-267.49002927009263,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,169.07286
