runner,lado,fav,gols,lado_fav,corte,N_rec,perdas_rec,ROI_rec,IC_lo,IC_hi,p_ic,dias,N_antes,ROI_antes,P_perm,odd_med,aprovado,BH_ic,BH_perm,fam
CS_1x1,lay,fav>1.80,Todos,fav casa,TOP 3,105,8,6.395814700482772,0.8010964965386045,11.070197995087058,0.0145,36,597,-5.788956045178517,0.0,7.2,False,False,True,CS
Under15_HT,lay,fav1.40-1.80,Todos,fav fora,TOP 3,66,36,21.46137448929391,2.0269006181841998,41.235333783977055,0.0145,26,361,-18.11923072835358,0.0175,1.5750000000000002,False,False,False,nao-CS
D,lay,fav<=1.40,Todos,Todos,TOP 3,79,7,8.2829761138959,1.31586245599114,14.682228999057273,0.015,29,410,-0.8525946396171208,0.025,5.9,True,False,False,nao-CS
CS_1x2,lay,fav>1.80,U25<=1.60,Todos,TOP 3,84,2,4.273268790835119,0.4562504887348817,6.949145342717617,0.017,33,457,-2.1447777024741295,0.04,14.5,False,False,False,CS
CS_0x0,lay,fav1.40-1.80,Todos,fav fora,TOP 3,64,1,4.287022862347744,0.3442637522210334,6.510080751799119,0.0175,26,345,-0.6281932036462076,0.08,17.25,False,False,False,CS
CS_2x0,back,fav>1.80,U25<=1.60,fav casa,TOP 3,82,67,68.55487804878048,2.5077923021060275,138.12567766295706,0.0215,33,413,-55.47578692493948,0.0,10.0,False,False,True,CS
A,back,fav1.40-1.80,Todos,fav fora,Todos,126,40,10.363095238095237,0.37640204386839293,21.924915170826083,0.0215,26,563,-2.771492007104798,0.045,1.65,False,False,False,nao-CS
Over15_HT,back,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,41,21,36.15731707317073,1.0056541375291366,77.2841447368421,0.0215,19,233,-20.350429184549363,0.01,2.84,False,False,False,nao-CS
Under35_FT,lay,fav>1.80,U25>2.20,fav casa,TOP 3,88,47,24.39057623478205,0.6750229821928762,47.585129837670195,0.0225,35,395,-3.4404594097674197,0.0375,1.53,False,False,False,nao-CS
D,lay,fav1.40-1.80,Todos,fav casa,TOP 3,99,16,9.50933638717671,0.2492208743505361,17.813465225543712,0.0225,35,549,-1.5784901453361626,0.0375,4.1,False,False,False,nao-CS
CS_2x1,lay,fav>1.80,Todos,fav fora,TOP 3,96,3,4.1852712682504425,0.11411185377929248,7.477503190664529,0.023,36,533,-1.000710736566587,0.0225,13.0,False,False,False,CS
1X,lay,fav1.40-1.80,Todos,fav fora,Todos,146,45,9.595340496074583,0.1866289351566626,19.548580304163714,0.023,26,660,-4.043023296699084,0.0325,2.6,False,False,False,nao-CS
Over25_HT,back,fav<=1.40,Todos,fav casa,Todos,106,74,33.54150943396226,1.2074184322033823,65.49934240591394,0.023,26,437,-7.877231121281469,0.045,4.6,False,False,False,nao-CS
Over25_HT,back,fav<=1.40,U25>2.20,fav casa,Todos,106,74,33.54150943396226,1.2074184322033823,65.49934240591394,0.023,26,429,-6.159324009324014,0.0375,4.6,False,False,False,nao-CS
Over15_HT,back,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,56,30,32.40357142857143,0.8415833333333347,62.490468231389286,0.0235,19,290,-22.941034482758617,0.0025,2.95,False,False,False,nao-CS
CS_1x0,lay,Todos,U25<=1.60,Todos,TOP 3,89,8,6.483230705558098,0.1763068687842642,12.617349853817212,0.0235,34,468,-4.044245870900616,0.01,6.4,False,False,False,CS
CS_1x1,lay,Todos,U25<=1.60,fav casa,Todos,202,18,4.2211401345017165,0.03678098112460429,8.698731364625587,0.024,33,931,-6.294661654197566,0.0,7.4,False,False,True,CS
Over15_FT,back,fav1.40-1.80,Todos,fav fora,Todos,40,6,14.521250000000002,0.17434027777778072,29.59451576576577,0.024,17,235,-4.338297872340425,0.02,1.35,False,False,False,nao-CS
D,lay,fav1.40-1.80,Todos,Todos,TOP 3,103,17,9.191196004088608,0.2057314946668323,17.495376028415926,0.024,36,569,-0.40659219547147224,0.045,4.0,False,False,False,nao-CS
Under15_HT,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,56,30,32.307879342788,0.8646577084112949,62.30902962346503,0.024,19,293,-21.992228889802064,0.0,1.5150000000000001,False,False,True,nao-CS
Over05_HT,lay,fav>1.80,U25<=1.60,Todos,TOP 3,89,44,23.064968350490847,0.024322296292463772,49.75046093578899,0.025,33,471,-0.5385953369175536,0.07,1.64,False,False,False,nao-CS
Over05_HT,back,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,55,11,11.52272727272727,-0.050051020408166925,22.557669387755087,0.0255,19,270,0.8435185185185144,0.135,1.41,False,False,False,nao-CS
Under15_FT,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,56,8,12.265951904633472,-0.008900024942940453,22.996057812753435,0.0255,19,284,-6.064797504369189,0.005,4.2,False,False,False,nao-CS
CS_1x1,lay,Todos,U25<=1.60,Todos,Todos,263,24,4.089020488824318,-0.022112234520820475,8.345219985410706,0.0255,34,1259,-7.581467743331942,0.0,7.4,False,False,True,CS
CS_3x2,back,fav1.40-1.80,U25>2.20,Todos,Todos,280,261,55.901785714285715,-0.43878241104501464,122.75920560283451,0.026,33,798,-23.961152882205514,0.0075,23.0,False,False,False,CS
Under05_HT,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,55,11,11.506437097702031,-0.0919845143282262,22.53826381589277,0.026,19,274,1.6513025427440005,0.14,3.45,False,False,False,nao-CS
1X,lay,fav1.40-1.80,Todos,Todos,Todos,147,46,8.84979396208768,-0.22580051529591566,18.609960156784176,0.0265,26,665,-4.764504324543452,0.035,2.6,False,False,False,nao-CS
CS_1x1,lay,Todos,U25>2.20,Todos,TOP 3,100,6,5.183978855618145,-0.1869555522725761,9.699256118500074,0.0265,35,551,-0.7081581648731713,0.0475,8.6,False,False,False,CS
CS_0x1,lay,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,216,6,1.8091753163371704,-0.027235925922802908,3.6119373846800604,0.027,30,929,-0.4109189683302761,0.085,21.0,False,False,False,CS
Under05_HT,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,41,8,13.0459775254339,-0.21383718236231844,26.22883729479985,0.0285,19,225,3.6062453631179756,0.22,3.4,False,False,False,nao-CS
X2,back,fav>1.80,U25 1.60-2.20,fav casa,TOP 3,96,28,13.138020833333334,-0.5008321618244295,26.691113402061845,0.0285,33,549,-2.751092896174864,0.025,1.6,False,False,False,nao-CS
CS_3x2,back,fav1.40-1.80,U25>2.20,fav casa,Todos,245,228,55.64285714285714,-2.664448275862072,125.22654729672553,0.03,33,522,-10.485632183908049,0.0475,23.0,False,False,False,CS
CS_2x0,back,fav>1.80,U25<=1.60,Todos,TOP 3,87,72,58.867816091954005,-2.9078488372093014,124.55992727860365,0.0305,33,464,-54.154094827586206,0.0,10.0,False,False,True,CS
BTTS_No,back,Todos,U25>2.20,fav casa,TOP 3,98,38,15.51020408163265,-0.8979255319148962,32.17788237639552,0.0315,35,529,-5.338468809073726,0.01,1.93,False,False,False,nao-CS
Over25_FT,back,fav1.40-1.80,U25 1.60-2.20,Todos,TOP 3,84,30,19.95119047619048,-1.2313078450164292,40.06702789046653,0.0325,31,484,-2.985020661157027,0.015,1.84,False,False,False,nao-CS
CS_1x1,lay,fav1.40-1.80,Todos,fav fora,TOP 3,66,3,5.515680645869272,-0.6309262267118054,10.419130174969007,0.0335,26,179,-2.6955595211139753,0.0275,9.9,False,False,False,CS
