linha,janela,estado,fav,N,WR,BE,gap_pp,ROI,odd_med,IC_lo,IC_hi,p,blocos,BH_passa,decisao
1.5,25-40,0-0,>1.80,354,50.56497175141242,50.356761987816576,0.20820976359584575,0.22259887005649623,2.08,-8.38280954573358,10.941609738911136,0.4791,19,False,INCONCLUSIVO
3.5,60-75,0-0,>1.80,115,3.4782608695652173,4.984775726066921,-1.5065148565017041,4.673913043478261,32.0,-100.0,109.5326304041353,0.4857,19,False,INCONCLUSIVO
3.5,25-40,1 gol,1.40-1.80,80,31.25,33.02812567444662,-1.7781256744466234,0.3387499999999949,3.3499999999999996,-29.576618074289275,28.37846088435373,0.4904,19,False,INCONCLUSIVO
2.5,75-85,0-0,>1.80,101,3.9603960396039604,6.576023844350264,-2.6156278047463033,4.867326732673257,34.0,-95.97270779220779,117.46427710843363,0.4965,18,False,INCONCLUSIVO
1.5,46-60,1 gol,<=1.40,35,85.71428571428571,85.93286655758561,-0.21858084329989813,-0.14428571428571313,1.16,-12.682172619047622,13.168444397283533,1.0,16,False,INCONCLUSIVO
1.5,60-75,0-0,1.40-1.80,47,31.914893617021278,40.96298316630406,-9.048089549282784,-29.215957446808517,2.74,-56.55688218390805,4.2538556985293985,1.0,16,False,INCONCLUSIVO
0.5,10-25,0-0,1.40-1.80,136,90.44117647058823,91.02333477120253,-0.5821583006142883,-0.8062499999999981,1.09,-9.16733477011494,5.643632443718232,1.0,18,False,INCONCLUSIVO
2.5,10-25,1 gol,<=1.40,34,73.52941176470588,74.8253017067223,-1.295889942016415,-3.7823529411764714,1.35,-23.99277777777778,14.57764296187683,1.0,11,False,INCONCLUSIVO
2.5,10-25,0-0,>1.80,529,33.0812854442344,35.51344650269741,-2.4321610584630116,-7.126181474480155,3.0,-20.931887820512824,6.29144456027818,1.0,19,False,INCONCLUSIVO
2.5,10-25,1 gol,>1.80,258,65.11627906976744,65.12790543745899,-0.011626367691541795,-0.03565891472868427,1.58,-12.35542004048583,8.773415273930798,1.0,18,False,INCONCLUSIVO
2.5,25-40,0-0,1.40-1.80,83,25.301204819277107,28.957930377294044,-3.6567255580169378,-11.540963855421687,3.75,-40.868568895643364,20.305299165120577,1.0,18,False,INCONCLUSIVO
2.5,25-40,0-0,>1.80,356,20.786516853932586,24.229409685062077,-3.44289283112949,-11.888904494382027,4.7,-27.857547820322992,9.452681793796328,1.0,19,False,INCONCLUSIVO
2.5,10-25,0-0,<=1.40,43,41.86046511627907,50.108886146155776,-8.2484210298767,-19.36627906976744,2.08,-47.971167763157894,6.131385135135132,1.0,15,False,INCONCLUSIVO
2.5,10-25,0-0,1.40-1.80,136,41.911764705882355,43.558873609375354,-1.6471089034929998,-3.819485294117652,2.4,-28.94326332521645,18.581995682888532,1.0,18,False,INCONCLUSIVO
1.5,75-85,1 gol,1.40-1.80,54,51.85185185185185,56.716662126746456,-4.864810274894604,-8.846296296296295,1.85,-31.631557559288538,11.281027238805967,1.0,16,False,INCONCLUSIVO
2.5,25-40,1-1,>1.80,46,78.26086956521739,79.93596197355055,-1.6750924083331564,-1.809782608695654,1.26,-11.474363537644791,8.202734848484846,1.0,14,False,INCONCLUSIVO
2.5,25-40,1 gol,<=1.40,32,59.375,67.6735199515974,-8.298519951597406,-12.778125000000001,1.525,-42.57840517241379,13.681540697674407,1.0,15,False,INCONCLUSIVO
1.5,25-40,1 gol,<=1.40,32,90.625,90.74166280423324,-0.11666280423324737,-0.2906249999999982,1.105,-9.239494047619047,9.690000000000003,1.0,15,False,INCONCLUSIVO
1.5,46-60,0-0,1.40-1.80,66,40.909090909090914,48.162196026664596,-7.253105117573683,-16.686363636363637,2.17,-40.66098058069382,9.87826674641148,1.0,17,False,INCONCLUSIVO
