runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
Under35_FT,lay,fav>1.80,U25>2.20,fav casa,Todos,313,170,45.68690095846646,41.1976306598156,4.489270298650855,1.61,11.708068608280119,-2.429929228246732,25.868879802858142,0.062,35,0,,0,,313,11.708068608280119,False,INCONCLUSIVO
A,back,fav1.40-1.80,Todos,Todos,TOP 3,103,46,55.33980582524271,45.70968169733271,9.630124127910006,1.7,24.984951456310682,-5.536695254431105,59.09907499999994,0.0625,36,0,,0,,103,24.984951456310682,False,INCONCLUSIVO
Over35_FT,back,fav>1.80,U25>2.20,fav casa,Todos,313,170,45.68690095846646,41.225130399845575,4.461770558620881,2.62,11.649680511182103,-2.5026923623675397,25.771169310115287,0.063,35,0,,0,,313,11.649680511182103,False,INCONCLUSIVO
Under35_FT,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,243,161,33.744855967078195,29.970452555351123,3.7744034117270675,1.41,10.552424061666812,-2.9757689048282896,26.42466558465016,0.064,30,0,,0,,243,10.552424061666812,False,INCONCLUSIVO
Under05_HT,back,fav>1.80,U25<=1.60,Todos,Todos,244,132,45.90163934426229,42.72293073834025,3.1787086059220373,2.46,7.951434426229505,-2.2914991719495728,19.96487182020695,0.064,33,0,,0,,244,7.951434426229505,False,INCONCLUSIVO
H,lay,fav>1.80,U25>2.20,fav fora,Todos,205,51,75.1219512195122,71.49612486810055,3.625826351411643,3.4,5.1228065475984135,-1.7358203270320332,11.644113776246027,0.066,30,0,,0,,205,5.1228065475984135,False,INCONCLUSIVO
D,lay,fav>1.80,U25<=1.60,fav casa,Todos,187,49,73.79679144385027,68.73330804603974,5.063483397810531,3.1,7.10977880615131,-2.6417159660397083,14.879699317910907,0.066,33,0,,0,,187,7.10977880615131,False,INCONCLUSIVO
CS_Goleada_H,lay,Todos,Todos,fav fora,Todos,533,12,97.74859287054409,96.95713848440694,0.791454386137147,34.0,0.7971426414693962,-0.2778686255572184,2.0863873395580237,0.068,35,0,,0,,533,0.7971426414693962,False,INCONCLUSIVO
CS_2x0,back,fav<=1.40,Todos,fav casa,Todos,159,130,18.23899371069182,12.95904996103723,5.279943749654589,8.2,38.57232704402515,-13.089249547920442,95.44509986871716,0.0705,30,0,,0,,159,38.57232704402515,False,INCONCLUSIVO
Over45_FT,back,Todos,U25>2.20,fav casa,Todos,698,510,26.93409742120344,24.59847338185572,2.3356240393477194,4.6,10.945128939828075,-3.3364735064578857,25.131067445180683,0.0705,35,0,,0,,698,10.945128939828075,False,INCONCLUSIVO
