Data,Home,Away,liga,tipo,odd,p,ev,passa_xgb,gh,ga,fonte
2026-09-12,Warta Poznan,Arka Gdynia,POLAND 2,exato,17.0,0.9341986378033956,-0.16533308923244416,0,3,0,betfair:exato
2026-09-12,Oxford Utd,Burton,ENGLAND 3,fuzzy,17.5,0.9357356230417887,-0.17141337792078726,0,3,0,betfair:exato
2026-09-12,Woking,Altrincham,ENGLAND 5,exato,15.5,0.9529125293095907,0.22249857783317628,1,5,1,betfair:exato
2026-09-12,Crystal Palace,Ipswich,ENGLAND 1,exato,16.0,0.9277364611625671,-0.20260344445705414,0,2,3,betfair:exato
2026-09-12,Mariehamn,TPS,FINLAND 1,fuzzy,17.5,0.938112219174703,-0.1299417754014327,0,1,0,betfair:exato
2026-09-12,Airdrieonians,Alloa,SCOTLAND 3,exato,14.5,0.9284303387006124,-0.08418160577615064,0,1,0,betfair:exato
2026-09-12,Queen of South,East Fife,SCOTLAND 3,exato,19.0,0.9353457689285278,-0.2751976788043976,0,1,1,betfair:exato
2026-09-12,Edinburgh City,Stirling,SCOTLAND 4,exato,19.0,0.9453216393788656,-0.08615493377049699,0,7,3,betfair:exato
2026-09-12,Eyupspor,Rizespor,TURKEY 1,exato,14.5,0.9534044067064921,0.2766936769088104,1,0,2,betfair:exato
2026-09-12,Catanzaro,Carrarese,ITALY 2,exato,15.0,0.9438280860582987,0.11022988657156563,1,1,0,betfair:exato
2026-09-12,AC Oulu,Gnistan,FINLAND 1,exato,16.0,0.9365778565406799,-0.06158318817615516,0,1,2,betfair:exato
2026-09-12,Jaro,SJK,FINLAND 1,exato,15.0,0.9414635300636292,0.07487977445125571,1,1,1,betfair:exato
2026-09-12,Tottenham,Everton,ENGLAND 1,exato,17.0,0.9438280860582987,-0.0021139413118369532,0,0,0,betfair:exato
2026-09-12,Konyaspor,Trabzonspor,TURKEY 1,exato,18.5,0.9483135143915812,-0.00361565947532716,0,1,0,betfair:exato
2026-09-12,Cesena,Cremonese,ITALY 2,fuzzy,13.0,0.9399291674296061,0.1720827182133987,1,2,2,betfair:exato
2026-09-12,Cobresal,Coquimbo,CHILE 1,fuzzy,14.5,0.9254018664360046,-0.12794302999973306,0,3,2,betfair:exato
2026-09-13,Urawa Reds,Okayama,JAPAN 1,fuzzy,16.0,0.949628214041392,0.14657001396020186,1,1,2,b365:exato
2026-09-13,Ostrava,FK Pardubice,CZECH 1,fuzzy,17.5,0.936423679192861,-0.15940679808457625,0,1,2,betfair:exato
2026-09-13,Elfsborg,Kalmar,SWEDEN 1,fuzzy,16.0,0.9396946430206299,-0.01187044382095337,0,1,0,b365:exato
2026-09-13,Lausanne,Servette,SWITZERLAND 1,exato,16.0,0.9434647361437479,0.04826254149277942,1,0,1,betfair_oficial:exato
2026-09-13,Avellino,Palermo,ITALY 2,fuzzy,12.0,0.9437566796938578,0.27789232234160055,1,1,1,betfair:exato
2026-09-13,Teplice,Slavia Prague,CZECH 1,exato,16.5,0.9478451808293661,0.09205322464307197,1,0,2,betfair_oficial:exato
2026-09-13,Waregem,Charleroi,BELGIUM 1,fuzzy,15.0,0.915831724802653,-0.3083157142003383,0,0,1,betfair:exato
2026-09-13,Fredrikstad,Sarpsborg 08,NORWAY 1,fuzzy,17.5,0.942145844300588,-0.05955501695473919,0,1,1,betfair:exato
2026-09-13,La Serena,U. De Chile,CHILE 1,fuzzy,18.0,0.9493373235066732,0.040604956944784165,1,0,3,betfair:exato
2026-09-13,A. Italiano,O'Higgins,CHILE 1,fuzzy,17.5,0.936005175113678,-0.16670969426631932,0,1,0,betfair:exato
2026-09-14,Kayserispor,Istanbulspor AS,TURKEY 2,fuzzy,20.0,0.9356231490770975,-0.33431817591190405,0,4,0,betfair:exato
2026-09-14,Gaziantep,Fenerbahce,TURKEY 1,fuzzy,18.0,0.968181848526001,0.3788641810417175,1,0,0,betfair:exato
2026-09-14,Leeds,Newcastle,ENGLAND 1,exato,16.5,0.9247840245564779,-0.28730279604593867,0,4,1,betfair:exato
2026-09-14,Union La Calera,Limache,CHILE 1,fuzzy,16.5,0.9474702676137289,0.08588590224583992,1,1,0,betfair:exato
