runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
CS_2x0,lay,fav1.40-1.80,Todos,fav fora,Todos,435,7,98.39080459770115,91.0017548310854,7.389049766615752,10.5,8.191842462827406,6.549535972494351,9.52883596949882,0.0,108,415,8.714167227127351,15,-4.34927234927235,5,2.462231462231462,True,PASSA
CS_2x0,lay,Todos,U25<=1.60,fav fora,Todos,423,17,95.98108747044918,89.80895804120146,6.172129429247719,7.6,7.118888251810941,4.658075826753309,9.291953354525496,0.0,166,306,10.261918117821576,64,-0.8033711855987367,53,-1.461159578472738,True,PASSA
CS_0x3,lay,Todos,Todos,fav casa,TOP 3,353,3,99.15014164305948,91.47599861899057,7.674143024068913,10.5,8.486606803489991,7.230940170263773,9.532074843700814,0.0,127,334,8.830020389480763,12,2.446869946869947,7,2.4547074547074548,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,Todos,U25<=1.60,Todos,Todos,414,4,99.03381642512076,96.5075121746946,2.52630425042617,29.0,2.6295515733540893,1.56912696792,3.4435785296224077,0.0,139,361,3.1126158636418553,36,0.38824404380050587,17,-2.882162410760897,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,Todos,U25<=1.60,Todos,TOP 3,281,2,99.28825622775801,96.25283865814424,3.035417569613774,27.0,3.1628969997582566,1.9874261077596937,3.98983567007258,0.0,139,228,4.051728212009592,36,0.38824404380050587,17,-2.882162410760897,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,Todos,U25<=1.60,fav casa,Todos,358,2,99.4413407821229,96.4546197871189,2.9867209950039997,29.0,3.1157531494287554,2.253616111102304,3.7281772277931524,0.0,97,358,3.1157531494287554,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,fav>1.80,Todos,fav fora,TOP 3,620,33,94.6774193548387,91.02536930730436,3.65205004753435,8.6,4.2640937595201285,2.21368044866802,6.177417247858653,0.0,226,338,8.68049626034175,186,-2.311493898659205,96,1.4548777089331282,True,PASSA
CS_2x0,lay,fav>1.80,U25 1.60-2.20,Todos,Todos,5282,358,93.22226429382809,90.44867314137778,2.7735911524503054,8.6,3.2175045144619197,2.1303978640878185,4.2970978206867585,0.0,242,3301,6.256554685860658,1054,-1.7850074210903086,927,-1.9165375952632082,True,PASSA
CS_0x3,lay,Todos,Todos,Todos,Todos,5580,102,98.17204301075269,95.38543049517487,2.786612515577813,24.0,2.9758558069310195,2.5147195964597513,3.3919072416015386,0.0,237,4237,3.980511302965189,743,-0.5355605879746296,600,0.22961754812789276,True,PASSA
CS_1x3,lay,Todos,U25<=1.60,fav casa,Todos,348,1,99.71264367816092,97.03898602432449,2.6736576538364254,34.0,2.7577227962658504,2.09243603940342,3.0955372775850263,0.0,95,347,2.758270794043079,1,2.5675675675675675,0,,True,INCONCLUSIVO (perdas<5)
