Data,Liga,Home,Away,odd_lay,p,EV,fonte_Odd_CS_0x0,casamento,universo,placar,fonte_placar,Resultado,PnL,Em_Claude
2026-09-05,ENGLAND 2,Sheffield Utd,Norwich,17.0,0.9486,0.0786,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x3,b365 + betfair,GREEN,0.0594,SIM
2026-09-05,ENGLAND 3,Wigan,Stockport County,17.5,0.9495,0.0681,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),0x4,b365 + betfair,GREEN,0.0576,NAO
2026-09-05,GERMANY 2,Kaiserslautern,Darmstadt,18.5,0.9522,0.0674,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),3x0,b365 + betfair,GREEN,0.0543,SIM
2026-09-05,SWEDEN 1,Degerfors,Halmstad,14.5,0.9369,0.0385,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x0,b365 + betfair,GREEN,0.0704,NAO
2026-09-05,GERMANY 2,SG Dynamo Dresden,Bochum,18.0,0.9491,0.0356,b365 (12.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x2,b365 + betfair,GREEN,0.0559,SIM
2026-09-06,SPAIN 1,Malaga,Levante,13.0,0.9473,0.2676,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-06),0x0,b365 + betfair,RED,-1.0,SIM
2026-09-06,SOUTH KOREA 2,Suwon Bluewings,Asan,18.5,0.9595,0.2035,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x0,b365 + betfair,GREEN,0.0543,NAO
2026-09-06,GERMANY 1,Hamburger SV,Mainz,16.0,0.9524,0.1904,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-06),0x5,b365 + betfair,GREEN,0.0633,SIM
2026-09-06,ENGLAND 1,Arsenal,Chelsea,16.5,0.9507,0.1389,b365 (12.0),EXATO,Base consolidada B365 + feed_diario (2026-09-06),2x1,b365 + betfair,GREEN,0.0613,SIM
2026-09-06,NORWAY 1,Kristiansund,Tromso,18.0,0.9531,0.1089,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-06),2x0,b365 + betfair,GREEN,0.0559,SIM
2026-09-06,BULGARIA 1,Lok. Sofia,Ludogorets,17.0,0.9495,0.0934,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x2,b365 + betfair,GREEN,0.0594,SIM
2026-09-06,CZECH 1,Hradec Kralove,Sparta Prague,19.0,0.954,0.0778,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-06),2x1,b365 + betfair,GREEN,0.0528,SIM
2026-09-06,CHILE 1,O'Higgins,Union La Calera,15.0,0.9399,0.0519,b365 (12.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x1,b365 + betfair,GREEN,0.0679,SIM
2026-09-06,NETHERLANDS 2,Maastricht,Roda,19.0,0.9514,0.0291,b365 (12.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x1,b365 + betfair,GREEN,0.0528,NAO
2026-09-07,SWEDEN 1,Mjallby,Goteborg,18.5,0.964,0.2853,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x4,b365 + betfair,GREEN,0.0543,SIM
2026-09-07,SWEDEN 2,Orebro,Ostersund,14.5,0.9386,0.0632,b365 (12.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),0x1,b365 + betfair,GREEN,0.0704,NAO
2026-09-08,FINLAND 1,Lahti,Mariehamn,19.5,0.9564,0.1027,b365 (15.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x1,b365 + betfair,GREEN,0.0514,SIM
2026-09-09,USA 1,Houston Dynamo,Real Salt Lake,18.5,0.9554,0.1268,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-09),2x1,b365 + betfair,GREEN,0.0543,SIM
2026-09-09,CZECH 1,Hradec Kralove,Plzen,16.5,0.949,0.1107,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-09),0x0,b365 + betfair,RED,-1.0,SIM
