metodo,periodo,corte,N,G,R,red_pct,WR,BE,edge_pp,odd_med,ROI,PnL_u,IC_lo,IC_hi,p_le0,dias,oh_med,oa_med
Lay 0x1 SuperFav Mand,completo,TOP 1,297,272,25,8.417508417508419,91.58249158249158,93.15024936786777,-1.5677577853761893,14.042087542087542,-1.704033766712608,-5.060980287136445,-5.313173035080688,1.4979049425684556,0.8277,297,1.7889225589225588,5.1372053872053876
Lay 0x1 SuperFav Mand,2026,Todos,148,137,11,7.4324324324324325,92.56756756756756,93.33632422969832,-0.768756662130754,14.35472972972973,-0.8129974067474084,-1.2032361619861642,-5.45273255795906,3.4037690307776503,0.6203,95,1.842094594594595,5.424797297297298
Lay 0x1 SuperFav Mand,2026,TOP 3,146,135,11,7.534246575342466,92.46575342465754,93.33359517472046,-0.8678417500629143,14.349315068493151,-0.9188107364477239,-1.3414636752136768,-5.588913521660119,3.362578764320783,0.6396,95,1.8434931506849312,5.403219178082192
Lay 0x1 SuperFav Mand,2026,TOP 2,134,125,9,6.7164179104477615,93.28358208955224,93.30894652938949,-0.025364439837249897,14.298507462686567,-0.018702655829522446,-0.02506155881156008,-4.8120892534449675,4.068103714350705,0.4822,95,1.8444029850746269,5.400522388059701
Lay 0x1 SuperFav Mand,2026,TOP 1,95,88,7,7.368421052631578,92.63157894736842,93.23530868758621,-0.6037297402177955,14.152631578947368,-0.6378939871045145,-0.6059992877492888,-6.340455524494998,4.055391740569369,0.5557,95,1.8504210526315792,5.406526315789474
Lay 1x0 SuperFav Visit,completo,Todos,145,134,11,7.586206896551724,92.41379310344827,92.5955085865851,-0.18171548313682395,13.353103448275862,-0.13714458125561496,-0.19885964282064172,-5.8686514409976045,4.585153536619856,0.5004,110,3.992896551724138,1.6009655172413793
Lay 1x0 SuperFav Visit,completo,TOP 3,138,127,11,7.971014492753622,92.02898550724638,92.61651837787865,-0.587532870632268,13.403623188405797,-0.5748813720175707,-0.7933362933842476,-6.326940848398188,4.265006179738963,0.5634,110,4.093695652173913,1.6232608695652173
Lay 1x0 SuperFav Visit,completo,TOP 2,133,122,11,8.270676691729323,91.72932330827066,92.60662364600385,-0.8773003377331778,13.390225563909775,-0.8855232069878346,-1.17774586529382,-6.7551390442574295,4.103746339702487,0.6078,110,4.090150375939849,1.6199999999999999
Lay 1x0 SuperFav Visit,completo,TOP 1,110,103,7,6.363636363636363,93.63636363636364,92.49931167946369,1.1370519568999482,13.254545454545454,1.2728657559249275,1.4001523315174202,-3.9899848713396286,5.926246562414823,0.2702,110,4.165818181818182,1.6123636363636362
Lay 1x0 SuperFav Visit,2026,Todos,39,36,3,7.6923076923076925,92.3076923076923,93.1193753757687,-0.8116830680763854,14.082051282051284,-0.8235512918065877,-0.3211850038045692,-13.918345435789048,7.628899888959674,0.5104,30,4.903846153846153,1.7712820512820513
Lay 1x0 SuperFav Visit,2026,TOP 3,39,36,3,7.6923076923076925,92.3076923076923,93.1193753757687,-0.8116830680763854,14.082051282051284,-0.8235512918065877,-0.3211850038045692,-13.918345435789048,7.628899888959674,0.5104,30,4.903846153846153,1.7712820512820513
Lay 1x0 SuperFav Visit,2026,TOP 2,37,34,3,8.108108108108109,91.8918918918919,93.0909370204139,-1.1990451285220027,14.032432432432433,-1.2348629446455544,-0.45689928951885506,-14.814680387902095,7.691101163832141,0.5264,30,4.895945945945946,1.7651351351351352
Lay 1x0 SuperFav Visit,2026,TOP 1,30,28,2,6.666666666666667,93.33333333333333,93.03391872545997,0.2994146078733717,13.956666666666667,0.36986688432340475,0.11096006529702142,-10.479310146844567,7.7703213865442144,0.3405,30,5.132666666666666,1.7843333333333333
Lay 0x0 Quantitativo,completo,Todos,1262,1192,70,5.54675118858954,94.45324881141046,94.0307067693446,0.42254204206585433,16.426307448494452,0.4536209247495247,5.724696070339002,-0.8763234822565688,1.7131721568263814,0.2492,554,2.228478605388273,9.288407290015847
