runner,fav,corte,N,reds,red_pct,WR,BE,edge_pp,odd_med,lay_size_med,ROI,IC_lo,IC_hi,p,dias,BH_passa,decisao
1 - 3,1.40-1.80,Todos,120,8,6.666666666666667,93.33333333333333,94.20351904347963,-0.8701857101462984,16.0,181.06,-0.8852930682560567,-5.138421352694616,3.386473947172406,1.0,23,False,INCONCLUSIVO
1 - 2,>1.80,Todos,1491,118,7.914151576123407,92.0858484238766,93.22593928588753,-1.1400908620109451,14.0,218.5,-1.2091591599469544,-2.3554745342272367,0.08680766591739336,1.0,27,False,INCONCLUSIVO
1 - 3,>1.80,Todos,808,35,4.3316831683168315,95.66831683168317,96.54846926204667,-0.8801524303635011,29.0,163.42,-0.9127211604483046,-2.1678582268990674,0.34944564302777875,1.0,26,False,INCONCLUSIVO
2 - 0,1.40-1.80,Todos,339,32,9.43952802359882,90.56047197640117,91.03352470936622,-0.47305273296504025,10.5,268.75,-0.5995571312563097,-5.267901318215726,2.787057838686716,1.0,25,False,INCONCLUSIVO
0 - 3,>1.80,Todos,421,15,3.5629453681710213,96.43705463182897,96.7604849580088,-0.3234303261798299,32.0,173.34,-0.32925934260833367,-2.46618157961086,1.2785846453735488,1.0,26,False,INCONCLUSIVO
0 - 0,1.40-1.80,Todos,413,26,6.2953995157385,93.7046004842615,94.82872228483113,-1.124121800569633,19.5,160.93,-1.1626577973701209,-3.7310938751228795,1.881066709922025,1.0,26,False,INCONCLUSIVO
0 - 0,>1.80,Todos,1470,133,9.047619047619047,90.95238095238095,92.93772917159974,-1.9853482192187966,14.0,206.41,-2.1512459383787665,-4.021591070725786,-0.46577209925156204,1.0,27,False,REPROVA
0 - 0,>1.80,TOP 3,77,16,20.77922077922078,79.2207792207792,86.66569910495403,-7.4449198841748165,7.2,261.22,-8.626186742557811,-20.119516264502042,1.6876413034331232,1.0,27,False,INCONCLUSIVO
2 - 1,>1.80,Todos,1496,134,8.957219251336898,91.0427807486631,92.4311409703083,-1.3883602216452129,12.5,246.665,-1.4732880765697092,-3.2468480436844223,0.16852538694190808,1.0,27,False,INCONCLUSIVO
2 - 1,1.40-1.80,TOP 3,59,6,10.16949152542373,89.83050847457628,89.93718897551015,-0.1066805009338756,9.4,479.63,-0.10785061699816113,-9.127473839695064,7.539378627365983,1.0,26,False,INCONCLUSIVO
2 - 0,<=1.40,Todos,135,21,15.555555555555555,84.44444444444444,89.41233191573562,-4.967887471291177,8.8,259.0,-5.522408082973433,-15.152061924132495,2.852098302147928,1.0,24,False,INCONCLUSIVO
2 - 0,>1.80,Todos,1464,99,6.762295081967213,93.23770491803278,94.40349623067077,-1.165791312637987,17.0,196.075,-1.2264301976619758,-2.4564987210132285,0.11981220694691785,1.0,27,False,INCONCLUSIVO
2 - 2,>1.80,TOP 3,74,8,10.81081081081081,89.1891891891892,93.05857682216427,-3.8693876329750854,13.5,250.555,-4.153340089607138,-10.850167969169645,1.8713696328530312,1.0,27,False,INCONCLUSIVO
2 - 3,1.40-1.80,Todos,110,5,4.545454545454546,95.45454545454545,96.80060645944741,-1.346061004901955,30.0,149.35500000000002,-1.3931800485575205,-7.535547673688225,2.4623884818047395,1.0,23,False,INCONCLUSIVO
2 - 3,>1.80,Todos,463,14,3.023758099352052,96.97624190064795,97.06448524908696,-0.08824334843899884,34.0,170.39,-0.0967611048371399,-1.9702933554633786,1.1766914872327612,1.0,26,False,INCONCLUSIVO
2 - 2,>1.80,Todos,1470,82,5.578231292517007,94.42176870748298,94.75612858384187,-0.33435987635888065,18.0,197.61,-0.3517350980104013,-1.0163917929688748,0.5665261677530948,1.0,27,False,INCONCLUSIVO
3 - 0,<=1.40,Todos,134,13,9.701492537313433,90.29850746268657,90.8665372612925,-0.5680297986059291,10.5,286.86,-0.728569636535398,-6.0864912516396705,4.679012370490669,1.0,24,False,INCONCLUSIVO
3 - 0,<=1.40,TOP 3,57,7,12.280701754385964,87.71929824561404,89.57793814876275,-1.8586399031487066,9.2,274.2,-2.217402254362695,-10.161929679873568,5.723547085302102,1.0,24,False,INCONCLUSIVO
3 - 1,1.40-1.80,Todos,323,23,7.120743034055728,92.87925696594426,94.29071512123623,-1.411458155291967,16.5,200.62,-1.4915968327104872,-4.528093079052951,1.4003278581731118,1.0,25,False,INCONCLUSIVO
3 - 0,>1.80,Todos,798,31,3.8847117794486214,96.11528822055138,96.58112763427327,-0.4658394137219024,28.0,173.57,-0.47469053457351595,-1.959895180480294,0.5742701708366654,1.0,26,False,INCONCLUSIVO
3 - 1,<=1.40,Todos,135,15,11.11111111111111,88.88888888888889,93.31646779930793,-4.42757891041905,14.0,199.91,-4.726200946421458,-12.13518673042909,1.6821804097596804,1.0,24,False,INCONCLUSIVO
3 - 1,>1.80,Todos,1106,57,5.15370705244123,94.84629294755878,96.27199380937063,-1.4257008618118516,26.0,170.675,-1.4786846357769656,-3.029367802399408,-0.26284729189629236,1.0,27,False,REPROVA
3 - 2,1.40-1.80,Todos,243,12,4.938271604938271,95.06172839506173,96.75941022754124,-1.6976818324795029,32.0,156.85,-1.7499722688785926,-4.595788747824637,0.7944828318722144,1.0,25,False,INCONCLUSIVO
2 - 2,1.40-1.80,Todos,435,28,6.436781609195402,93.5632183908046,95.43876118697499,-1.875542796170393,21.0,190.06,-1.9574951001476624,-3.8277853832067854,0.15867911655016143,1.0,26,False,INCONCLUSIVO
3 - 2,<=1.40,Todos,70,3,4.285714285714286,95.71428571428572,96.61474932086341,-0.900463606577695,29.0,168.54,-0.9410501903862197,-6.350841950070345,3.4815509024391336,1.0,20,False,INCONCLUSIVO
Any Other Away Win,1.40-1.80,Todos,135,5,3.7037037037037033,96.2962962962963,97.0446946743036,-0.7483983780072978,50.0,179.13,-0.8016427187590673,-3.8992959914804963,2.535091723058227,1.0,25,False,INCONCLUSIVO
Any Other Away Win,>1.80,TOP 3,69,10,14.492753623188406,85.5072463768116,92.41307739370383,-6.905831016892227,12.0,378.82,-7.4831480346059465,-16.567109306381592,0.38569815270041624,1.0,26,False,INCONCLUSIVO
Any Other Away Win,>1.80,Todos,1191,52,4.36607892527288,95.63392107472713,96.31723344376746,-0.6833123690403453,32.0,167.17,-0.7288696831290091,-2.392658394933164,0.8615874631367417,1.0,26,False,INCONCLUSIVO
Any Other Home Win,1.40-1.80,Todos,142,10,7.042253521126761,92.95774647887323,94.19379840332451,-1.2360519244512758,14.0,202.565,-1.3863608385778994,-6.108811713033966,3.08252158810306,1.0,22,False,INCONCLUSIVO
Any Other Home Win,>1.80,TOP 3,53,5,9.433962264150944,90.56603773584906,92.01909272480616,-1.4530549889571032,11.0,300.99,-1.6485096454607298,-12.722669116109333,6.702295082696863,1.0,26,False,INCONCLUSIVO
