Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-08-31,07:00,JAPAN 1,Cerezo Osaka vs Sanfrecce Hiroshima,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x1,alias_exact,False,True,2025-08,8.03,1.0,92.10486657767547,4564.1427864340585,0,8.03,1.0,8.03,,2025-08-31,EXECUTED,,2145.7543326767163,500.0,500.0,2145.7543326767163,1.0,Fase_3_100pct
2025-08-31,08:30,GERMANY 2,Kaiserslautern vs Darmstadt,Lay_CS_0x1_B365,historico,9.53,375.0,1.0,3x1,alias_exact,False,True,2025-08,9.53,1.0,54.80656506447832,4748.985456214356,0,9.53,1.0,9.53,,2025-08-31,EXECUTED,,2200.560897741195,500.0,554.8065650644783,2200.560897741195,1.0,Fase_3_100pct
2025-08-31,09:30,NORWAY 1,Kristiansund vs Brann,Lay_CS_0x1_B365,historico,9.03,312.5,1.0,2x2,alias_exact,False,True,2025-08,9.03,1.0,64.60076442531597,4966.860408825879,0,9.03,1.0,9.03,,2025-08-31,EXECUTED,,2265.1616621665107,1000.0,1000.0,15.161662166510723,1.0,Fase_3_100pct
2025-08-31,12:00,SLOVAKIA 1,Ruzomberok vs Zilina,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,3x3,alias_exact,False,True,2025-08,8.03,1.0,133.0014224751067,5099.861831300986,0,8.03,1.0,8.03,,2025-08-31,EXECUTED,,2398.1630846416174,1000.0,1133.0014224751067,148.16308464161742,1.0,Fase_3_100pct
2025-08-31,14:30,SPAIN 2,Las Palmas vs Malaga,Lay_CS_1x0_B365,historico,6.03,500.0,1.0,0x1,alias_exact,False,True,2025-08,6.03,1.0,210.607620281158,5310.469451582144,0,6.03,1.0,6.03,,2025-08-31,EXECUTED,,2608.7707049227756,1000.0,1343.6090427562647,358.7707049227754,1.0,Fase_3_100pct
2025-09-01,14:30,SPAIN 1,Villarreal B vs Alcorcon,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x0,alias_exact,False,True,2025-09,8.03,1.0,178.70191393699966,5489.171365519143,0,8.03,1.0,8.03,,2025-09-01,EXECUTED,,2787.472618859775,1000.0,1000.0,537.472618859775,1.0,Fase_3_100pct
2025-09-01,16:30,SPAIN 2,Leganes vs Dep. La Coruna,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,2x2,alias_exact,False,True,2025-09,8.03,1.0,133.0014224751067,5691.640888208788,0,8.03,1.0,8.03,,2025-09-01,EXECUTED,,2920.474041334882,1000.0,1133.0014224751067,670.4740413348817,1.0,Fase_3_100pct
2025-09-01,19:00,BRAZIL 2,Chapecoense-SC vs Vila Nova FC,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,2x2,alias_exact,False,True,2025-09,10.03,1.0,117.31520819648117,5870.231115033042,0,10.03,1.0,10.03,,2025-09-01,EXECUTED,,3037.789249531363,1000.0,1250.3166306715877,787.7892495313629,1.0,Fase_3_100pct
2025-09-05,14:15,SPAIN 1,Betis B vs Gimnastic,Lay_CS_1x0_B365,historico,8.03,312.5,1.0,2x2,alias_exact,False,True,2025-09,8.03,1.0,166.29389042360378,6123.382126456044,0,8.03,1.0,8.03,,2025-09-05,EXECUTED,,3204.083139954967,1000.0,1000.0,954.0831399549667,1.0,Fase_3_100pct
2025-09-05,14:30,SPAIN 2,Albacete vs Mirandes,Lay_CS_0x1_B365,historico,11.03,250.0,1.0,1x4,alias_exact,False,True,2025-09,11.03,1.0,93.22033898305087,6309.822804422146,0,11.03,1.0,11.03,,2025-09-05,EXECUTED,,3297.303478938018,1000.0,1093.2203389830509,1047.3034789380176,1.0,Fase_3_100pct
