m_l0,m_l1,m_odd_low_le9,m_odd_mid_9a10_5,m_odd_high_gt10_5,anti_martingale,cut_after_first_red_day,Ops_total,Ops_skip,WR_%,PnL_R$,ROI_%,DD_Max_R$,Delta_PnL_vs_Base_R$,Delta_DD_vs_Base_R$,Score_RiskAdj
0.95,0.9,1.0,1.0,0.95,0.05,True,527,37,93.36,7753.26,4.809,1094.7,-891.57,141.69,-919.9121
0.95,0.9,1.0,1.0,0.95,0.1,False,527,0,93.36,9085.88,4.865,1099.67,441.05,146.66,411.7163
0.95,0.9,1.0,1.0,0.95,0.1,True,527,37,93.36,8211.14,4.781,1199.0,-433.7,245.99,-482.8968
0.95,0.9,1.0,1.0,1.0,0.0,False,527,0,93.36,8165.89,4.931,888.17,-478.95,-64.85,-465.976
0.95,0.9,1.0,1.0,1.0,0.0,True,527,37,93.36,7345.3,4.853,987.5,-1299.54,34.48,-1306.4358
0.95,0.9,1.0,1.0,1.0,0.05,False,527,0,93.36,8657.03,4.903,992.39,12.2,39.38,4.3214
0.95,0.9,1.0,1.0,1.0,0.05,True,527,37,93.36,7806.29,4.821,1091.72,-838.55,138.7,-866.2869
0.95,0.9,1.0,1.0,1.0,0.1,False,527,0,93.36,9148.17,4.877,1096.62,503.34,143.6,474.6188
0.95,0.9,1.0,1.0,1.0,0.1,True,527,37,93.36,8267.28,4.794,1195.94,-377.55,242.93,-426.1381
0.95,0.9,1.0,1.05,0.85,0.0,False,527,0,93.36,8104.62,4.879,911.19,-540.22,-41.83,-531.8538
0.95,0.9,1.0,1.05,0.85,0.0,True,527,37,93.36,7271.65,4.791,1012.93,-1373.18,59.92,-1385.1642
0.95,0.9,1.0,1.05,0.85,0.05,False,527,0,93.36,8590.3,4.85,1018.14,-54.54,65.12,-67.5644
0.95,0.9,1.0,1.05,0.85,0.05,True,527,37,93.36,7727.75,4.759,1119.88,-917.08,166.87,-950.4543
0.95,0.9,1.0,1.05,0.85,0.1,False,527,0,93.36,9075.98,4.824,1125.09,431.14,172.07,396.7249
0.95,0.9,1.0,1.05,0.85,0.1,True,527,37,93.36,8183.86,4.732,1226.84,-460.98,273.82,-515.7444
0.95,0.9,1.0,1.05,0.9,0.0,False,527,0,93.36,8160.06,4.892,908.27,-484.78,-44.74,-475.8273
0.95,0.9,1.0,1.05,0.9,0.0,True,527,37,93.36,7321.56,4.803,1010.02,-1323.27,57.0,-1334.6727
0.95,0.9,1.0,1.05,0.9,0.05,False,527,0,93.36,8649.16,4.863,1015.15,4.33,62.14,-8.0999
0.95,0.9,1.0,1.05,0.9,0.05,True,527,37,93.36,7780.78,4.772,1116.9,-864.05,163.88,-896.8292
0.95,0.9,1.0,1.05,0.9,0.1,False,527,0,93.36,9138.27,4.837,1122.03,493.43,169.02,459.6275
0.95,0.9,1.0,1.05,0.9,0.1,True,527,37,93.36,8240.0,4.744,1223.78,-404.83,270.76,-458.9857
0.95,0.9,1.0,1.05,0.95,0.0,False,527,0,93.36,8215.5,4.904,906.26,-429.33,-46.76,-419.9799
0.95,0.9,1.0,1.05,0.95,0.0,True,527,37,93.36,7371.47,4.815,1008.0,-1273.36,54.99,-1284.3602
0.95,0.9,1.0,1.05,0.95,0.05,False,527,0,93.36,8708.03,4.875,1012.17,63.19,59.15,51.3646
0.95,0.9,1.0,1.05,0.95,0.05,True,527,37,93.36,7833.81,4.784,1113.91,-811.02,160.9,-843.2041
