Date,Horario,Liga,Home,Away,Odd_Lay,Prob,Metodo,Placar_Final,Status,PnL
2026-07-04,17:00:00,BRAZIL 3,Maranhao,Inter Limeira,12.5,90.6,RF,,PENDENTE,
2026-07-04,16:00:00,ECUADOR 1,Libertad FC,CD Leones del Norte,11.0,89.6,RF,,PENDENTE,
2026-07-04,15:30:00,IRELAND 2,Longford,UCD,12.0,88.8,RF,,PENDENTE,
2026-07-04,21:00:00,ECUADOR 1,Barcelona (Ecu),Deportivo Cuenca,21.0,95.6,RF,,PENDENTE,
2026-07-04,19:00:00,USA 1,Tampa Bay Rowdies,Lexington SC,23.0,94.4,RF,,PENDENTE,
2026-07-04,20:00:00,BRAZIL 2,Goias,Ceara SC Fortaleza,11.5,92.5,RF,,PENDENTE,
2026-07-04,20:00:00,USA 1,Pittsburgh Riverhounds,Brooklyn FC,22.0,94.1,RF,,PENDENTE,
2026-07-04,20:30:00,BRAZIL 3,Ferroviaria,SER Caxias do Sul,13.5,92.0,RF,,PENDENTE,
2026-07-04,22:00:00,USA 1,Colorado Switchbacks FC,Phoenix Rising FC,21.0,93.2,RF,,PENDENTE,
2026-07-04,22:00:00,USA 1,San Antonio FC,Monterey Bay FC,15.5,93.5,RF,,PENDENTE,
2026-07-04,19:00:00,BRAZIL 3,Maringa,Volta Redonda,18.0,93.8,RF,,PENDENTE,
2026-07-04,13:00:00,NORWAY 2,Bryne,Sandnes Ulf,24.0,93.4,RF,,PENDENTE,
2026-07-04,10:00:00,SWEDEN 1,Halmstads,Vasteras SK,11.5,90.0,RF,,PENDENTE,
2026-07-04,22:30:00,USA 1,New Mexico United,Oakland Roots,16.0,89.4,RF,,PENDENTE,
2026-07-04,07:00:00,CHINA 1,Yanbian Longding,Jiangxi Dingnan United,14.5,93.5,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Ningbo Professional,Shijiazhuang Gongfu FC,26.0,93.6,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Shaanxi Union FC,Wuxi Wugou,16.0,90.9,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Shenzhen Juniors FC,Nantong Zhiyun F.C,13.0,89.7,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Suzhou Dongwu,Guangdong GZ-Power FC,7.6,87.3,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Liaoning Tieren FC,Chongqing Tonglianglong,16.0,93.0,RF,,PENDENTE,
2026-07-04,08:00:00,CHINA 1,Qingdao Youth Island,Shanghai Port FC,14.0,90.0,RF,,PENDENTE,
2026-07-04,09:00:00,CHINA 1,Tianjin Jinmen Tiger FC,Shenzhen Peng City,13.5,91.2,RF,,PENDENTE,
2026-07-04,11:00:00,ICELAND 1,IA Akranes,Breidablik,32.0,89.5,RF,,PENDENTE,
2026-07-04,12:00:00,FINLAND 1,VPS,IFK Mariehamn,40.0,95.3,RF,,PENDENTE,
2026-07-04,13:00:00,ESTONIA 1,Trans Narva,FCI Tallinn,14.0,90.5,RF,,PENDENTE,
2026-07-04,23:30:00,USA 1,Las Vegas Lights FC,El Paso Locomotive FC,18.0,89.8,RF,,PENDENTE,
2026-07-05,08:00:00,CHINA 1,Qingdao Hainiu,Chengdu Rongcheng,11.5,90.5,RF+Trader,1-1,ENCERRADO,0.94
2026-07-05,08:30:00,CHINA 1,Meizhou Hakka,Changchun Yatai,15.0,92.5,RF+Trader,1-3,ENCERRADO,0.94
2026-07-05,11:30:00,SWEDEN 1,Elfsborg,Hammarby,10.5,94.9,RF+Trader,1-2,ENCERRADO,0.94
2026-07-05,17:00:00,WORLD WORLD CUP,Brazil,Norway,23.0,95.6,RF+Trader,1-2,ENCERRADO,0.94
2026-07-05,19:00:00,ECUADOR 1,Delfin,Emelec,8.6,89.8,RF+Trader,1-1,ENCERRADO,0.94
2026-07-05,21:00:00,WORLD WORLD CUP,Mexico,England,8.4,92.2,RF+Trader,2-3,ENCERRADO,0.94
2026-07-05,14:00:00,URUGUAY 1,Danubio,Juventud De Las Piedras,9.8,89.5,RF,,PENDENTE,
2026-07-05,15:00:00,ECUADOR 1,Macara,LDU,8.6,88.9,RF,,PENDENTE,
2026-07-05,21:00:00,BRAZIL 3,Anapolis GO,Botafogo PB,13.0,91.0,RF,,PENDENTE,
2026-07-05,20:00:00,USA 1,Miami FC,Birmingham Legion FC,15.0,88.5,RF,,PENDENTE,
2026-07-05,20:30:00,BRAZIL 2,Nautico PE,Juventude,10.5,91.4,RF,,PENDENTE,
2026-07-05,13:00:00,ESTONIA 1,Tammeka Tartu,Harju JK Laagri,21.0,93.9,RF,,PENDENTE,
2026-07-05,08:35:00,CHINA 1,Shanghai Shenhua,Zhejiang Greentown,32.0,94.6,RF,,PENDENTE,
2026-07-05,11:00:00,BRAZIL 3,Ypiranga RS,Paysandu,13.0,91.3,RF,,PENDENTE,
2026-07-05,09:00:00,SWEDEN 1,Kalmar FF,Orgryte,32.0,96.9,RF,,PENDENTE,
2026-07-05,09:00:00,SWEDEN 1,IFK Goteborg,AIK,17.0,92.3,RF,,PENDENTE,
2026-07-05,08:30:00,CHINA 1,Nanjing City,Foshan Nanshi FC,17.0,94.3,RF,,PENDENTE,
2026-07-05,08:30:00,CHINA 1,Guangxi Hengchen,Dalian Kun City FC,19.5,93.4,RF,,PENDENTE,
2026-07-05,11:00:00,NORWAY 2,Odds BK,Haugesund,75.0,89.2,RF,,PENDENTE,
2026-07-06,14:00:00,SWEDEN 1,Brommapojkarna,GAIS,12.0,91.1,RF+Trader,1-1,ENCERRADO,0.94
2026-07-06,16:00:00,WORLD WORLD CUP,Portugal,Spain,11.0,93.8,RF+Trader,0-1,ENCERRADO,-10.0
2026-07-06,16:15:00,ICELAND 1,Keflavik,Fram,22.0,92.8,RF+Trader,1-1,ENCERRADO,0.94
2026-07-06,19:00:00,BRAZIL 2,Botafogo SP,Avai,16.5,94.2,RF+Trader,3-1,ENCERRADO,0.94
2026-07-06,21:00:00,WORLD WORLD CUP,USA,Belgium,14.5,96.3,RF+Trader,1-4,ENCERRADO,0.94
2026-07-06,21:00:00,BRAZIL 3,Amazonas FC,Itabaiana,13.5,93.3,RF,,PENDENTE,
2026-07-06,20:00:00,BRAZIL 4,Ivinhema FC,Asa AL,6.6,88.2,RF,,PENDENTE,
2026-07-06,19:00:00,BRAZIL 3,Brusque FC,Figueirense,11.5,92.4,RF,,PENDENTE,
2026-07-06,19:00:00,BRAZIL 2,Vila Nova,Sao Bernardo,14.0,93.6,RF,,PENDENTE,
2026-07-06,14:00:00,SWEDEN 1,Hacken,Djurgardens,21.0,89.4,RF,,PENDENTE,
2026-07-06,00:00:00,USA 1,AV Alta FC,Charlotte Independence,17.0,89.0,RF,,PENDENTE,
2026-07-06,21:00:00,ECUADOR 1,Orense Sporting Club,Tecnico Universitario,18.5,93.5,RF,,PENDENTE,
2026-07-06,18:30:00,ECUADOR 1,Univ Catolica (Ecu),Mushuc Runa,36.0,94.9,RF,,PENDENTE,
2026-07-07,13:00:00,WORLD WORLD CUP,Argentina,Egypt,29.0,96.7,RF+Trader,3-2,ENCERRADO,0.94
2026-07-07,17:00:00,WORLD WORLD CUP,Switzerland,Colombia,8.4,93.7,RF+Trader,0-0,ENCERRADO,0.94
2026-07-07,21:00:00,ECUADOR 1,Aucas,Guayaquil City,36.0,95.9,RF+Trader,1-0,ENCERRADO,0.94
2026-07-07,20:00:00,BRAZIL 2,Athletic Club,Operario PR,10.5,91.0,RF,0-1,ENCERRADO,-9.5
2026-07-07,20:00:00,BOLIVIA 1,CD Gualberto Villarroel,Real Tomayapo,34.0,95.1,RF,,PENDENTE,
2026-07-08,20:00:00,BRAZIL 2,Ponte Preta,Criciuma,6.4,92.3,RF+Trader,1-2,ENCERRADO,0.94
2026-07-08,21:00:00,BOLIVIA 1,Real Potosi,Academia de Balompie Boliviano,32.0,95.2,RF,,PENDENTE,
2026-07-08,20:00:00,USA 1,Hartford Athletic FC,Orange County Blues,17.0,93.6,RF,,PENDENTE,
2026-07-08,20:00:00,USA 1,Greenville Triumph SC,Sarasota Paradise,16.5,93.6,RF,,PENDENTE,
2026-07-08,20:00:00,USA 1,New York Cosmos,FC Naples,21.0,89.0,RF,,PENDENTE,
2026-07-08,23:30:00,USA 1,Sacramento Republic,Rhode Island FC,14.0,91.7,RF,,PENDENTE,
2026-07-09,17:00:00,WORLD WORLD CUP,France,Morocco,20.0,95.9,RF+Trader,2-0,ENCERRADO,0.94
2026-07-09,21:00:00,BOLIVIA 1,Nacional Potosi,Aurora,23.0,95.5,RF+Trader,2-0,ENCERRADO,0.94
2026-07-10,08:35:00,CHINA 1,Shandong Taishan,Yunnan Yukun,40.0,95.5,RF+Trader,4-3,ENCERRADO,0.94
2026-07-10,13:00:00,FINLAND 1,VPS,SJK,22.0,94.9,RF+Trader,1-0,ENCERRADO,0.94
2026-07-10,15:45:00,IRELAND 2,Cork City,Longford,42.0,97.2,RF+Trader,3-4,ENCERRADO,0.94
2026-07-10,15:45:00,IRELAND 2,Finn Harps,Treaty United,12.5,92.3,RF+Trader,0-1,ENCERRADO,-11.5
2026-07-10,15:45:00,IRELAND 1,Dundalk,Drogheda,21.0,94.6,RF+Trader,1-2,ENCERRADO,0.94
2026-07-10,16:00:00,WORLD WORLD CUP,Spain,Belgium,24.0,97.4,RF+Trader,2-1,ENCERRADO,0.94
2026-07-10,20:00:00,BRAZIL 2,Sport Recife,Botafogo SP,13.0,93.9,RF+Trader,3-3,ENCERRADO,0.94
2026-07-10,19:00:00,URUGUAY 1,Deportivo Maldonado,Albion FC,14.5,91.9,RF,,PENDENTE,
2026-07-10,19:00:00,ECUADOR 1,CD Leones del Norte,Univ Catolica (Ecu),9.2,89.3,RF,,PENDENTE,
2026-07-10,19:00:00,BRAZIL 2,Juventude,Vila Nova,13.5,93.3,RF,,PENDENTE,
2026-07-10,16:00:00,IRELAND 1,Waterford,St Patricks,11.5,87.2,RF,1-1,ENCERRADO,0.94
2026-07-10,15:45:00,IRELAND 2,Wexford F.C,Kerry FC,16.0,93.3,RF,,PENDENTE,
2026-07-10,15:45:00,IRELAND 2,Athlone Town,Cobh Ramblers,14.0,88.7,RF,,PENDENTE,
2026-07-10,15:45:00,IRELAND 2,Bray Wanderers,UCD,15.5,90.6,RF,,PENDENTE,
2026-07-10,13:00:00,ESTONIA 1,Harju JK Laagri,Trans Narva,19.0,91.6,RF,,PENDENTE,
2026-07-10,21:15:00,ECUADOR 1,Tecnico Universitario,Macara,7.8,90.3,RF,,PENDENTE,
2026-07-11,07:00:00,CHINA 1,Yanbian Longding,Suzhou Dongwu,22.0,96.2,RF+Trader,3-1,ENCERRADO,0.94
2026-07-11,08:00:00,CHINA 1,Wuhan Three Towns,Henan Songshan Longmen,13.0,93.3,RF+Trader,,PENDENTE,
2026-07-11,08:35:00,CHINA 1,Shanghai Shenhua,Beijing Guoan,28.0,96.0,RF+Trader,,PENDENTE,
2026-07-11,09:00:00,CHINA 1,Chengdu Rongcheng,Chongqing Tonglianglong,48.0,97.6,RF+Trader,1-1,ENCERRADO,0.94
2026-07-11,09:00:00,NORWAY 1,Fredrikstad,Lillestrom,12.5,92.4,RF+Trader,0-2,ENCERRADO,0.94
2026-07-11,10:00:00,SWEDEN 1,Mjallby,AIK,17.0,94.4,RF+Trader,1-2,ENCERRADO,0.94
2026-07-11,11:00:00,ESTONIA 1,Nomme Utd,Kuressaare,24.0,93.5,RF+Trader,3-2,ENCERRADO,0.94
2026-07-11,11:00:00,FINLAND 1,TPS,AC Oulu,13.5,91.9,RF+Trader,3-0,ENCERRADO,0.94
2026-07-11,12:30:00,SWEDEN 1,Orgryte,Hacken,14.5,91.7,RF+Trader,4-3,ENCERRADO,0.94
2026-07-11,13:00:00,NORWAY 1,Tromso,Valerenga,19.5,94.9,RF+Trader,4-0,ENCERRADO,0.94
2026-07-11,15:00:00,URUGUAY 1,Danubio,Nacional (Uru),7.6,90.7,RF+Trader,,PENDENTE,
2026-07-11,18:00:00,WORLD WORLD CUP,Norway,England,12.0,94.5,RF+Trader,1-2,ENCERRADO,0.94
2026-07-11,20:00:00,ECUADOR 1,Guayaquil City,Delfin,10.0,91.3,RF+Trader,2-1,ENCERRADO,0.94
2026-07-11,22:00:00,WORLD WORLD CUP,Argentina,Switzerland,17.0,95.5,RF+Trader,3-1,ENCERRADO,0.94
2026-07-11,11:00:00,NORWAY 1,Aalesunds,Molde,15.0,89.0,RF,,PENDENTE,
2026-07-11,13:00:00,IRELAND 1,Galway Utd,Sligo Rovers,21.0,94.5,RF,,PENDENTE,
2026-07-11,14:00:00,ECUADOR 1,Manta FC,Orense Sporting Club,9.8,89.9,RF,,PENDENTE,
2026-07-11,18:00:00,URUGUAY 1,Wanderers (Uru),Progreso,13.5,93.2,RF,,PENDENTE,
2026-07-11,16:00:00,BOLIVIA 1,CDT Real Oruro,CD Gualberto Villarroel,21.0,89.6,RF,,PENDENTE,
2026-07-11,16:00:00,BRAZIL 4,Portuguesa SP,Marcilio,25.0,96.0,RF,,PENDENTE,
2026-07-11,16:10:00,ECUADOR 1,Mushuc Runa,Independiente (Ecu),7.8,87.4,RF,,PENDENTE,
2026-07-11,18:00:00,BRAZIL 4,XV De Piracicaba,Cianorte PR,17.0,94.4,RF,,PENDENTE,
2026-07-11,11:00:00,FINLAND 1,Gnistan,IFK Mariehamn,40.0,96.3,RF,,PENDENTE,
2026-07-11,10:00:00,URUGUAY 1,Juventud De Las Piedras,Torque,10.5,89.5,RF,,PENDENTE,
2026-07-11,08:00:00,CHINA 1,Dalian Kun City FC,Nanjing City,12.5,91.7,RF,,PENDENTE,
2026-07-11,08:00:00,CHINA 1,Shaanxi Union FC,Meizhou Hakka,32.0,96.8,RF,,PENDENTE,
2026-07-11,11:00:00,BRAZIL 3,SER Caxias do Sul,Floresta EC,15.0,94.2,RF,,PENDENTE,
2026-07-11,08:00:00,CHINA 1,Zhejiang Greentown,Qingdao Hainiu,70.0,95.5,RF,,PENDENTE,
2026-07-11,08:30:00,ESTONIA 1,Parnu JK Vaprus,Tammeka Tartu,14.5,89.7,RF,,PENDENTE,
2026-07-11,08:35:00,CHINA 1,Shenzhen Peng City,Qingdao Youth Island,19.0,93.1,RF,,PENDENTE,
2026-07-11,09:00:00,FINLAND 1,Lahti,HJK Helsinki,14.5,90.0,RF,,PENDENTE,
2026-07-11,08:30:00,CHINA 1,Guangdong GZ-Power FC,Shijiazhuang Gongfu FC,30.0,96.0,RF,,PENDENTE,
2026-07-12,09:00:00,SWEDEN 1,Vasteras SK,Degerfors,15.0,93.6,RF+Trader,2-0,ENCERRADO,0.94
2026-07-12,11:30:00,SWEDEN 1,Brommapojkarna,Sirius,13.0,91.5,RF+Trader,1-2,ENCERRADO,0.94
2026-07-12,11:30:00,SWEDEN 1,GAIS,Elfsborg,17.5,94.9,RF+Trader,1-0,ENCERRADO,0.94
2026-07-12,12:00:00,NORWAY 1,Brann,Start,34.0,97.1,RF+Trader,2-1,ENCERRADO,0.94
2026-07-12,12:00:00,NORWAY 1,Rosenborg,Kristiansund,24.0,94.5,RF+Trader,3-0,ENCERRADO,0.94
2026-07-12,16:00:00,BOLIVIA 1,Real Potosi,Nacional Potosi,13.5,91.9,RF+Trader,1-1,ENCERRADO,0.94
2026-07-12,16:00:00,BRAZIL 2,Sao Bernardo,Cuiaba,8.0,91.2,RF+Trader,2-2,ENCERRADO,0.94
2026-07-12,16:00:00,BRAZIL 3,Ituano,Ferroviaria,10.5,92.3,RF+Trader,1-3,ENCERRADO,0.94
2026-07-12,17:05:00,ICELAND 1,Hafnarfjordur,Valur,22.0,92.2,RF+Trader,2-0,ENCERRADO,0.94
2026-07-12,18:15:00,BOLIVIA 1,The Strongest,Bolivar,16.0,91.7,RF+Trader,1-1,ENCERRADO,0.94
2026-07-12,19:00:00,BRAZIL 2,CRB,Goias,14.5,93.9,RF+Trader,2-2,ENCERRADO,0.94
2026-07-12,19:30:00,BRAZIL 3,Botafogo PB,Confianca,17.5,94.3,RF+Trader,2-0,ENCERRADO,0.94
2026-07-12,16:00:00,BRAZIL 4,Portuguesa RJ,EC Sao Jose Porto Alegre,11.5,90.9,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 4,Manaura Esporte Clube,Goiatuba EC,14.0,93.6,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 4,AD Iguatu,Maguary,13.5,92.8,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 3,Maranhao,Ypiranga RS,10.5,91.4,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 3,Paysandu,Guarani,13.5,91.8,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 3,Anapolis GO,Maringa,10.0,90.1,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 4,ABC RN,Aguia de Maraba,32.0,95.7,RF,,PENDENTE,
2026-07-12,16:15:00,ECUADOR 1,Deportivo Cuenca,Aucas,9.4,90.0,RF,,PENDENTE,
2026-07-12,18:00:00,BRAZIL 4,Guapore RO,Luverdense,9.4,90.1,RF,,PENDENTE,
2026-07-12,17:00:00,BRAZIL 4,Capital Clube de Futebol,Nacional AM,14.5,94.4,RF,,PENDENTE,
2026-07-12,17:00:00,BRAZIL 4,Ferroviario,Imperatriz MA,23.0,95.4,RF,,PENDENTE,
2026-07-12,17:00:00,BRAZIL 4,Treze,CRAC,14.5,94.2,RF,,PENDENTE,
2026-07-12,18:00:00,BRAZIL 2,Atletico GO,Fortaleza EC,11.0,91.7,RF,,PENDENTE,
2026-07-12,18:30:00,URUGUAY 1,Racing Club (Uru),Penarol,8.0,88.6,RF,,PENDENTE,
2026-07-12,20:10:00,ECUADOR 1,Emelec,Barcelona (Ecu),7.8,90.1,RF,,PENDENTE,
2026-07-12,16:00:00,BRAZIL 2,Avai,Nautico PE,10.5,89.5,RF,,PENDENTE,
2026-07-12,11:00:00,BRAZIL 2,Operario PR,Novorizontino,9.6,89.6,RF,2-1,ENCERRADO,0.94
2026-07-12,15:00:00,URUGUAY 1,Boston River,Central Espanol,12.0,92.3,RF,,PENDENTE,
2026-07-12,20:30:00,BOLIVIA 1,Real Tomayapo,Club Independiente Petrolero,21.0,92.8,RF,,PENDENTE,
2026-07-12,08:00:00,CHINA 1,Shenzhen Juniors FC,Jiangxi Dingnan United,21.0,94.3,RF,,PENDENTE,
2026-07-12,08:30:00,CHINA 1,Nantong Zhiyun F.C,Changchun Yatai,20.0,88.0,RF,,PENDENTE,
2026-07-12,08:35:00,CHINA 1,Shanghai Port FC,Dalian Yingbo,30.0,93.4,RF,,PENDENTE,
2026-07-12,09:00:00,SWEDEN 1,Hammarby,Kalmar FF,42.0,95.9,RF,,PENDENTE,
2026-07-12,09:00:00,SWEDEN 1,Malmo FF,IFK Goteborg,19.5,91.1,RF,,PENDENTE,
2026-07-12,09:30:00,NORWAY 1,Kfum Oslo,Bodo Glimt,12.5,87.0,RF,0-2,ENCERRADO,0.94
2026-07-12,11:00:00,BRAZIL 3,Barra FC,Santa Cruz PE,11.0,92.8,RF,,PENDENTE,
2026-07-12,11:00:00,BRAZIL 3,Inter Limeira,Amazonas FC,18.5,94.9,RF,,PENDENTE,
2026-07-12,12:00:00,NORWAY 1,Sandefjord,Ham-Kam,18.0,93.5,RF,2-2,ENCERRADO,0.94
2026-07-12,12:00:00,URUGUAY 1,Liverpool Montevideo,Cerro,17.0,94.5,RF,,PENDENTE,
2026-07-12,14:00:00,ECUADOR 1,LDU,Libertad FC,44.0,97.5,RF,,PENDENTE,
2026-07-12,14:15:00,NORWAY 1,Sarpsborg,Viking,16.5,87.2,RF,,PENDENTE,
2026-07-12,15:00:00,ICELAND 1,KA Akureyri,IA Akranes,22.0,90.0,RF,,PENDENTE,
2026-07-12,15:00:00,ICELAND 1,KR Reykjavik,IBV,70.0,95.6,RF,,PENDENTE,
2026-07-12,15:30:00,BRAZIL 4,Sao Luiz,Velo Clube SP,11.5,91.5,RF,,PENDENTE,
2026-07-13,16:15:00,ICELAND 1,Breidablik,Keflavik,44.0,95.7,RF+Trader,2-1,ENCERRADO,0.94
2026-07-13,19:00:00,BRAZIL 2,America MG,Londrina,12.5,93.4,RF+Trader,1-1,ENCERRADO,0.94
2026-07-13,20:30:00,BRAZIL 3,Figueirense,Volta Redonda,12.5,93.9,RF+Trader,0-0,ENCERRADO,0.94
2026-07-13,20:00:00,BRAZIL 4,CSA,Betim Futebol,23.0,95.7,RF,,PENDENTE,
2026-07-13,20:00:00,BRAZIL 4,America RN,Trem AP,60.0,98.5,RF,,PENDENTE,
2026-07-13,19:30:00,BRAZIL 3,Itabaiana,Brusque FC,10.0,91.3,RF,,PENDENTE,
2026-07-13,19:00:00,URUGUAY 1,Cerro Largo FC,Defensor Sporting,8.0,90.0,RF,,PENDENTE,
2026-07-13,20:30:00,BRAZIL 2,Ceara SC Fortaleza,Athletic Club,13.5,93.4,RF,,PENDENTE,
