"Data_Arquivo","Horario_Entrada","Liga","Jogo","Metodo","Fonte_Dados","Odd_Exec","Responsabilidade_Sugerida_R$","Resultado_1_0","Placar_FT","Match_Tipo","Swap","Matched","Mes_Ref","Odd_Base","1/0","PnL_Linha","Lucro_Ciclo","Resets_Teto_Acum"
"2026-03-12","19:00","BRAZIL 1","Remo vs Fluminense","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.63","312.5","1.0","0x2","alias_exact","False","True","2026-03","8.63","1.0","436.6345096189869","37298.128313586334","2"
"2026-03-13","08:35","CHINA 1","Wuhan Three Towns vs Dalian Yingbo","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.23","250.0","1.0","4x1","alias_exact","False","True","2026-03","9.23","1.0","454.4076032669044","37752.53591685324","2"
"2026-03-13","12:30","ROMANIA 1","UTA Arad vs FC Hermannstadt","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.53","312.5","1.0","3x2","alias_exact","False","True","2026-03","10.53","1.0","196.22245540398742","37948.75837225722","2"
"2026-03-13","14:00","AUSTRIA 2","Bregenz vs Admira","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.23","375.0","1.0","1x4","alias_exact","False","True","2026-03","8.23","1.0","284.0204696822584","38232.77884193948","2"
"2026-03-13","16:00","FRANCE 2","Nancy vs Le Mans","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.43","437.5","1.0","2x4","alias_exact","False","True","2026-03","8.43","1.0","312.11670726186276","38544.89554920134","2"
"2026-03-14","10:00","SPAIN 1","Girona vs Ath Bilbao","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","10.03","250.0","1.0","3x0","alias_exact","False","True","2026-03","10.03","1.0","289.1313683549814","38834.02691755632","2"
"2026-03-15","08:30","ITALY 1","Verona vs Genoa","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","8.83","312.5","1.0","0x2","alias_exact","False","True","2026-03","8.83","1.0","367.96859331512","39201.99551087144","2"
"2026-03-15","09:00","SCOTLAND 1","St. Mirren vs Rangers","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.63","250.0","0.0","0x1","alias_exact","False","True","2026-03","8.63","0.0","-3449.4595940182103","35752.53591685323","2"
"2026-03-15","10:30","NORWAY 1","Kristiansund vs Brann","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.43","437.5","1.0","3x2","alias_exact","False","True","2026-03","9.43","1.0","221.82680901542113","35974.362725868654","2"
"2026-03-15","11:00","ITALY 1","Pisa vs Cagliari","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.43","375.0","1.0","3x1","alias_exact","False","True","2026-03","8.43","1.0","279.59731715066204","36253.96004301932","2"
"2026-03-15","13:00","SERBIA 1","IMT Novi Beograd vs Crvena zvezda","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.63","500.0","1.0","1x2","alias_exact","False","True","2026-03","8.63","1.0","306.5310036651753","36560.49104668449","2"
"2026-03-16","07:30","TURKEY 2","Bandirmaspor vs Igdir FK","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.83","250.0","","","sem_match","False","False","2026-03","9.83","","0.0","36560.49104668449","2"
"2026-03-16","13:00","SERBIA 1","Napredak vs OFK Beograd Mozzart Bet","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.03","312.5","1.0","2x2","alias_exact","False","True","2026-03","8.03","1.0","373.4620265138303","36933.95307319832","2"
"2026-03-16","16:30","SPAIN 2","Albacete vs Las Palmas","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.03","375.0","1.0","2x1","alias_exact","False","True","2026-03","9.03","1.0","370.4389839579899","37304.39205715631","2"
"2026-03-16","18:00","CHILE 1","Union La Calera vs O'Higgins","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.83","437.5","1.0","3x3","alias_exact","False","True","2026-03","8.83","1.0","424.13607805662565","37728.52813521293","2"
"2026-03-17","15:30","FRANCE 3","Stade Briochin vs Chateauroux","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.03","250.0","1.0","2x0","alias_exact","False","True","2026-03","9.03","1.0","462.9579980281848","38191.48613324112","2"
"2026-03-19","13:00","BULGARIA 1","Spartak Varna vs Ludogorets","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.23","250.0","1.0","1x5","alias_exact","False","True","2026-03","8.23","1.0","258.6445366528354","38450.13066989395","2"
"2026-03-19","20:00","PARAGUAY 1","Sportivo Trinidense vs Ameliano","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.43","312.5","1.0","1x1","alias_exact","False","True","2026-03","8.43","1.0","284.230503603015","38734.36117349697","2"
"2026-03-19","21:30","BRAZIL 1","Chapecoense-SC vs Corinthians","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.43","375.0","1.0","0x0","alias_exact","False","True","2026-03","8.43","1.0","319.9984068155075","39054.35958031248","2"
"2026-03-20","13:00","BULGARIA 1","Slavia Sofia vs Botev Plovdiv","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.03","312.5","0.0","0x1","alias_exact","False","True","2026-03","10.03","0.0","-2862.8734470713584","36191.48613324112","2"
"2026-03-20","13:30","SLOVENIA 1","Aluminij vs Maribor","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.23","250.0","1.0","1x1","alias_exact","False","True","2026-03","9.23","1.0","227.21749696233294","36418.70363020345","2"
"2026-03-20","15:30","FRANCE 3","Versailles vs Fleury-Merogis","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.83","437.5","1.0","1x1","alias_exact","False","True","2026-03","8.83","1.0","265.95764491184946","36684.66127511529","2"
"2026-03-20","16:00","FRANCE 2","Boulogne vs Nancy","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.03","375.0","1.0","0x0","alias_exact","False","True","2026-03","8.03","1.0","331.5958403488422","37016.257115464134","2"
"2026-03-23","18:30","PARAGUAY 1","Sportivo Trinidense vs Recoleta","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.53","312.5","1.0","3x2","alias_exact","False","True","2026-03","10.53","1.0","277.14174904286756","37293.398864507","2"
"2026-03-24","16:45","SCOTLAND 2","Raith vs Partick Thistle","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.63","250.0","1.0","0x2","alias_exact","False","True","2026-03","8.63","1.0","380.1164356138413","37673.51530012084","2"
"2026-03-26","20:00","PARAGUAY 1","Recoleta vs Rubio Nu","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","9.03","250.0","1.0","1x0","alias_exact","False","True","2026-03","9.03","1.0","405.44175230791427","38078.957052428756","2"
"2026-03-27","15:00","SPAIN 2","Cordoba vs Mirandes","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","9.83","250.0","1.0","2x2","alias_exact","False","True","2026-03","9.83","1.0","411.64046539529454","38490.59751782405","2"
"2026-03-27","18:30","PARAGUAY 1","Nacional Asuncion vs Sp. Luqueno","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.03","312.5","1.0","3x2","alias_exact","False","True","2026-03","10.03","1.0","207.0874861572536","38697.6850039813","2"
"2026-03-28","10:00","SPAIN 2","Ceuta vs Cadiz CF","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","8.63","250.0","1.0","2x1","alias_exact","False","True","2026-03","8.63","1.0","270.4622279891261","38968.147231970426","2"
"2026-03-29","09:00","SPAIN 2","Eibar vs Las Palmas","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","8.63","250.0","1.0","3x1","alias_exact","False","True","2026-03","8.63","1.0","303.6053712617123","39271.75260323214","2"
"2026-03-29","11:15","SPAIN 2","Cultural Leonesa vs Andorra","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.53","312.5","1.0","0x4","alias_exact","False","True","2026-03","10.53","1.0","272.8625398590311","39544.61514309117","2"
"2026-03-29","13:30","SPAIN 2","Zaragoza vs Racing Santander","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","11.03","375.0","1.0","2x0","alias_exact","False","True","2026-03","11.03","1.0","284.6965582876132","39829.311701378785","2"
"2026-03-29","16:00","SPAIN 2","Almeria vs Real Sociedad B","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","10.03","437.5","1.0","5x1","alias_exact","False","True","2026-03","10.03","1.0","345.7029636349589","40175.01466501375","2"
"2026-03-29","19:30","BRAZIL 1","Athletico-PR vs Botafogo RJ","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.53","500.0","1.0","4x1","alias_exact","False","True","2026-03","10.53","1.0","361.48268967705826","40536.49735469081","2"
"2026-03-31","14:00","SPAIN 2","Mirandes vs Albacete","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.03","250.0","1.0","1x1","alias_exact","False","True","2026-03","10.03","1.0","207.0874861572536","40743.58484084806","2"
"2026-03-31","16:30","SPAIN 2","Valladolid vs Cadiz CF","Lay_CS_1x0_B365","api_diaria_cruzada_betfair","7.23","312.5","1.0","3x0","alias_exact","False","True","2026-03","7.23","1.0","331.2402567507275","41074.82509759879","2"
"2026-03-31","18:30","BRAZIL 2","Juventude vs Novorizontino","Lay_CS_0x1_B365","api_diaria_cruzada_betfair","10.03","375.0","1.0","0x0","alias_exact","False","True","2026-03","10.03","1.0","262.8279556610147","41337.653053259804","2"
