liga,N,logloss_1x2,brier_1x2,overround_%,brier_o25,gap_home_pp,gap_draw_pp,gap_away_pp
FRANCE 1,228,0.9929292726325383,0.59423589673536,5.609418100162086,0.23481941267462023,-0.9489380928649211,2.093045462648135,-1.1441073697832138
ROMANIA 1,254,0.9930987973611584,0.591140768955218,10.424134241290398,0.24104368560603645,7.251175870251188,-2.0327296947924403,-5.218446175458755
SERBIA 1,230,0.9945568848991692,0.593816615938617,8.395902022741291,0.23984511779707196,-4.212588401010265,6.006607620868973,-1.7940192198587042
SWEDEN 1,158,0.9983921458842635,0.5952244612590497,7.851958469117409,0.24045345321396458,-4.842620783135153,2.32553135314096,2.517089429994172
BRAZIL 1,318,1.0015562102350883,0.6011483342652075,6.886499994373082,0.25045056486400186,0.26031175763309733,1.7939957525347872,-2.054307510167874
USA 1,324,1.0019177983108944,0.5973027194563834,7.0956533462393105,0.23108321095336465,0.9805217465593543,0.30712132568315553,-1.2876430722425205
ECUADOR 1,258,1.002924281562194,0.5991222856600101,9.43868228694213,0.23869267262166727,0.834885142521955,-2.162508502653779,1.3276233601318133
NETHERLANDS 1,242,1.0082144528353671,0.6030893316107745,5.65295030573897,0.22769880885257587,-3.7030932636280625,5.038829569135775,-1.3357363055077194
BELGIUM 1,249,1.008885524901167,0.6046993436280865,8.339906348285083,0.24277635099340072,-1.6456931579481022,-1.5028724690402768,3.1485656269883897
MEXICO 1,246,1.0101057199340657,0.6043438616041552,7.082914282278585,0.2481980601499716,1.9710043887700621,-1.1835078831419032,-0.7874965056281411
SWITZERLAND 1,183,1.010167539060252,0.6023690976726452,8.077745222649305,0.22055497297572646,-5.3206581742420695,1.8404171078244538,3.4802410664176193
EGYPT 1,225,1.0102747524615574,0.6086563483175244,10.66724481053754,0.2222264961707929,-1.9292322170318101,6.015768448266154,-4.086536231234351
CHILE 1,209,1.011120029633814,0.6055162015345759,9.252018577252322,0.23974834210812948,1.3833034764040661,-4.860905134743938,3.4776016583398714
ENGLAND 3,417,1.0121340144933233,0.6051775737709368,8.780509524110151,0.2435539253384847,1.0934695081208687,0.9825474225497892,-2.0760169306706544
SPAIN 2,370,1.021669491808366,0.6118840215911399,8.008494628381413,0.24309130902253603,0.8542740049419351,-3.5485549488414527,2.694280943899532
ENGLAND 1,300,1.0224740784157587,0.6147539303889691,5.59054400814481,0.24454535082286039,-1.7984432552145577,4.268213339985124,-2.4697700847705732
DENMARK 1,143,1.0227638199215743,0.6109554780593055,8.039286191732277,0.23895304655679364,-1.5170458316536113,2.308601600977866,-0.7915557693242476
JAPAN 1,259,1.0324948149402424,0.6199671353395247,7.712318752708716,0.24716846746717028,0.8926447250534864,-0.975857371081446,0.08321264602795253
ENGLAND 2,431,1.0371364464671604,0.625689184985795,7.887557867982615,0.24934471103531478,-2.350871150266073,0.4154791768627213,1.9353919734033518
BRAZIL 2,273,1.0401947893210814,0.6260901563884724,7.912312225050762,0.23782920457507592,-2.3848187952065487,1.1205447722692838,1.2642740229372542
GERMANY 2,234,1.0415866113387349,0.6263783799554374,6.764202694613284,0.24556460399419555,2.6649682629855036,0.9886040701752918,-3.653572333160792
NETHERLANDS 2,297,1.0420076604080308,0.6278491258268235,8.223975289002102,0.22750091822023627,-4.006738773865706,-0.571151722266201,4.577890496131921
USA 2,270,1.0426160718445596,0.6272478516067906,11.670905758709097,0.24889424936855628,0.7339169936368748,1.3178542205859998,-2.0517712142228817
FRANCE 2,226,1.0530544418085979,0.6369510584778816,10.192189181149358,0.24296856057944827,-4.163386613079197,5.1371872186932315,-0.9738006056140414
URUGUAY 1,219,1.0543251237270004,0.6343474971158439,10.241718215418553,0.24058429703607734,-0.3796668816998334,-2.0348349645957846,2.4145018462956216
ARGENTINA 1,402,1.0582334314714916,0.6362117991623155,7.138515399464363,0.22090401684289893,0.16489931646783873,-2.5920835435341587,2.427184227066327
POLAND 1,231,1.067954735954089,0.6444119913208213,9.068159273225351,0.24270034463599102,-0.31419163403869277,1.5264554733974478,-1.2122638393587621
PORTUGAL 2,256,1.0727792238645195,0.6481775443446196,10.810218863035946,0.24874744331254714,2.9998354093871953,-5.455991770687579,2.456156361300387
