lado,Data,Liga,Jogo,Metodo,motivo,arquivo
live_sem_ref,2026-04-05,GERMANY 1,Union Berlin x St Pauli,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,ISRAEL 1,FC Ashdod x Maccabi Netanya,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,NETHERLANDS 1,FC Volendam x Feyenoord,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SAUDI ARABIA 1,Al Riyadh SC x Al-Shabab (KSA),Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SAUDI ARABIA 1,Al-Akhdoud x Al-Fateh (KSA),Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SPAIN 1,Alaves x Osasuna,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SPAIN 1,Alaves x Osasuna,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SPAIN 1,Oviedo x Sevilla,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SPAIN 1,Oviedo x Sevilla,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SWEDEN 2,Norrby IF x IK Brage,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SWEDEN 2,Norrby IF x IK Brage,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SWEDEN 2,Sundsvall x United IK Nordic,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,SWEDEN 2,Sundsvall x United IK Nordic,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
