Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2026-04-08,14:00:00,TURKEY 1,Goztepe x Galatasaray,Lay_CS_0x1_B365,8.8,1.0,8.8,1.0,8.8,,2026-04-08,EXECUTED,,53.35442563102337,-307.695567420171,500.0,795.1806643511343,-307.695567420171,0.6,Fase_2_60pct
2026-04-09,13:00:00,SAUDI ARABIA 1,Dhamk x Al-Quadisiya (KSA),Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-09,EXECUTED,,42.485366923903456,-265.2102004962676,500.0,837.6660312750378,-265.2102004962676,0.6,Fase_2_60pct
2026-04-10,15:00:00,FRANCE 2,Annecy x Montpellier,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-10,EXECUTED,,49.46638353108381,-215.74381696518378,500.0,887.1324148061216,-215.74381696518378,0.6,Fase_2_60pct
2026-04-10,15:00:00,FRANCE 2,Clermont x Nancy,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-10,EXECUTED,,49.76812847062342,-165.97568849456036,500.0,936.900543276745,-165.97568849456036,0.6,Fase_2_60pct
2026-04-11,10:30:00,GERMANY 1,FC Heidenheim x Union Berlin,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,50.057257597928945,-115.9184308966314,500.0,986.9578008746739,-115.9184308966314,0.6,Fase_2_60pct
2026-04-11,11:15:00,SPAIN 1,Elche x Valencia,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,52.7317453610183,-63.18668553561311,500.0,500.0,-63.18668553561311,0.6,Fase_2_60pct
2026-04-11,11:15:00,SPAIN 1,Elche x Valencia,Lay_CS_1x0_B365,10.0,0.0,10.0,0.0,10.0,,2026-04-11,EXECUTED,,-300.0,-363.1866855356131,500.0,500.0,-363.1866855356131,0.6,Fase_2_60pct
2026-04-11,13:00:00,SAUDI ARABIA 1,Al Najma Club x NEOM Sports Club,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,26.71428571428572,-336.4723998213274,500.0,526.7142857142857,-336.4723998213274,0.6,Fase_2_60pct
2026-04-11,13:30:00,GERMANY 1,St Pauli x Bayern Munich,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-11,EXECUTED,,31.103864661654136,-305.36853515967323,500.0,557.8181503759398,-305.36853515967323,0.6,Fase_2_60pct
2026-04-11,16:30:00,BRAZIL 1,Remo x Vasco Da Gama,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-11,EXECUTED,,31.293598236090226,-274.074936923583,500.0,589.11174861203,-274.074936923583,0.6,Fase_2_60pct
2026-04-11,17:15:00,ARGENTINA 1,Estudiantes x Union Santa Fe,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-11,EXECUTED,,34.78859904961567,-239.2863378739673,500.0,623.9003476616457,-239.2863378739673,0.6,Fase_2_60pct
2026-04-11,19:30:00,ARGENTINA 1,Boca Juniors x CA Independiente,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-11,EXECUTED,,39.77364716342991,-199.5126907105374,500.0,663.6739948250756,-199.5126907105374,0.6,Fase_2_60pct
2026-04-13,09:30:00,ROMANIA 1,FC Metaloglobus Bucuresti x Csikszereda,Lay_CS_0x1_B365,10.5,0.0,10.5,0.0,10.5,,2026-04-13,EXECUTED,,-398.20439689504536,-597.7170876055827,500.0,500.0,-597.7170876055827,0.6,Fase_2_60pct
2026-04-13,13:05:00,SAUDI ARABIA 1,Al Bukayriyah x Al-Anwar Club,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-13,EXECUTED,,26.71428571428572,-571.002801891297,500.0,526.7142857142857,-571.002801891297,0.6,Fase_2_60pct
2026-04-13,14:00:00,TURKEY 1,Eyupspor x Samsunspor,Lay_CS_0x1_B365,8.8,1.0,8.8,1.0,8.8,,2026-04-13,EXECUTED,,37.88291208791208,-533.1198898033849,500.0,564.5971978021978,-533.1198898033849,0.6,Fase_2_60pct
2026-04-13,14:00:00,PORTUGAL 2,Lusitania Futebol Clube x Porto B,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-13,EXECUTED,,31.6739027967033,-501.4459870066816,500.0,596.2711005989011,-501.4459870066816,0.6,Fase_2_60pct
2026-04-13,14:00:00,TURKEY 2,Sakaryaspor x Erokspor A.S,Lay_CS_0x1_B365,9.2,1.0,9.2,1.0,9.2,,2026-04-13,EXECUTED,,40.793669199510184,-460.6523178071714,500.0,637.0647697984112,-460.6523178071714,0.6,Fase_2_60pct
2026-04-13,14:30:00,SAUDI ARABIA 1,Al-Zulfi SC x Al Draih,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-13,EXECUTED,,34.03746055780083,-426.6148572493706,500.0,671.1022303562121,-426.6148572493706,0.6,Fase_2_60pct
2026-04-13,15:30:00,ITALY 3,Crotone x Catania,Lay_CS_0x1_B365,9.8,1.0,9.8,1.0,9.8,,2026-04-13,EXECUTED,,42.78276718520851,-383.83209006416206,500.0,713.8849975414206,-383.83209006416206,0.6,Fase_2_60pct
2026-04-13,15:30:00,ROMANIA 1,Universitatea Cluj x Universitatea Craiova,Lay_CS_0x1_B365,9.0,1.0,9.0,1.0,9.0,,2026-04-13,EXECUTED,,50.06118545259212,-333.77090461156996,500.0,763.9461829940127,-333.77090461156996,0.6,Fase_2_60pct
2026-04-13,15:30:00,SPAIN 2,Valladolid x Eibar,Lay_CS_0x1_B365,9.6,1.0,9.6,1.0,9.6,,2026-04-13,EXECUTED,,49.8341637976327,-283.93674081393726,500.0,813.7803467916453,-283.93674081393726,0.6,Fase_2_60pct
2026-04-13,15:30:00,SPAIN 2,Valladolid x Eibar,Lay_CS_1x0_B365,7.6,1.0,7.6,1.0,7.6,,2026-04-13,EXECUTED,,69.17132947728986,-214.7654113366474,500.0,882.9516762689352,-214.7654113366474,0.6,Fase_2_60pct
2026-04-13,16:00:00,SPAIN 1,Levante x Getafe,Lay_CS_0x1_B365,8.8,1.0,8.8,1.0,8.8,,2026-04-13,EXECUTED,,63.50460133165034,-151.26081000499704,500.0,946.4562776005855,-151.26081000499704,0.6,Fase_2_60pct
2026-04-14,10:15:00,SAUDI ARABIA 1,Al-Jndal x Al-Ula FC,Lay_CS_0x1_B365,9.4,1.0,9.4,1.0,9.4,,2026-04-14,EXECUTED,,63.20975853975339,-88.05105146524366,500.0,500.0,-88.05105146524366,0.6,Fase_2_60pct
2026-04-15,12:00:00,CZECH 1,Sparta Prague B x SK Artis Brno,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-15,EXECUTED,,26.71428571428572,-61.33676575095794,500.0,526.7142857142857,-61.33676575095794,0.6,Fase_2_60pct
2026-04-17,15:30:00,GERMANY 1,St Pauli x FC Koln,Lay_CS_0x1_B365,10.5,1.0,10.5,1.0,10.5,,2026-04-17,EXECUTED,,51.839774436090224,-9.496991314867714,500.0,578.5540601503759,-9.496991314867714,1.0,Fase_3_100pct
2026-04-17,15:45:00,IRELAND 2,Kerry FC x Treaty United,Lay_CS_0x1_B365,11.5,1.0,11.5,1.0,11.5,,2026-04-17,EXECUTED,,51.518861546723954,42.02187023185624,500.0,630.0729216970999,42.02187023185624,1.0,Fase_3_100pct
2026-04-19,08:30:00,TURKEY 1,Kasimpasa x Alanyaspor,Lay_CS_0x1_B365,11.0,1.0,11.0,1.0,11.0,,2026-04-19,EXECUTED,,58.91181817867884,100.93368841053508,500.0,688.9847398757787,100.93368841053508,1.0,Fase_3_100pct
2026-04-19,10:30:00,CZECH 1,Hradec Kralove x Slavia Prague,Lay_CS_0x1_B365,8.8,1.0,8.8,1.0,8.8,,2026-04-19,EXECUTED,,82.5898374081863,183.5235258187214,500.0,771.574577283965,183.5235258187214,1.0,Fase_3_100pct
