Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-09-07,13:00,IRELAND 1,Shelbourne vs Galway,Lay_CS_0x1_B365,11.03,1.0,11.03,1.0,11.03,,2025-09-07,EXECUTED,,144.36730317682253,4045.3641510959364,1000.0,1693.0347372554643,2045.3641510959371,1.0,Fase_3_100pct
2025-09-08,15:30,SPAIN 2,Eibar vs Andorra,Lay_CS_0x1_B365,8.53,1.0,8.53,1.0,8.53,,2025-09-08,EXECUTED,,210.22410084114998,4255.588251937086,1000.0,1903.2588380966142,2255.588251937087,1.0,Fase_3_100pct
2025-09-11,14:00,ICELAND 1,Akranes vs Breidablik,Lay_CS_0x1_B365,10.03,1.0,10.03,1.0,10.03,,2025-09-11,EXECUTED,,197.07054414400162,4452.6587960810875,1000.0,1000.0,2452.658796081089,1.0,Fase_3_100pct
2025-09-12,07:00,JAPAN 1,Vissel Kobe vs Kashiwa Reysol,Lay_CS_0x1_B365,9.03,1.0,9.03,1.0,9.03,,2025-09-12,EXECUTED,,116.43835616438358,4569.097152245471,1000.0,1116.4383561643835,2569.0971522454724,1.0,Fase_3_100pct
2025-09-12,13:00,AUSTRIA 2,Kapfenberg vs Hertha Wels,Lay_CS_0x1_B365,10.03,1.0,10.03,1.0,10.03,,2025-09-12,EXECUTED,,115.6002063138094,4684.6973585592805,1000.0,1232.038562478193,2684.697358559282,1.0,Fase_3_100pct
2025-09-14,07:00,SOUTH KOREA 1,Anyang vs Jeju SK,Lay_CS_0x1_B365,8.53,1.0,8.53,1.0,8.53,,2025-09-14,EXECUTED,,152.98221194118335,4837.679570500464,1000.0,1385.0207744193763,2837.679570500465,1.0,Fase_3_100pct
2025-09-14,08:30,GERMANY 3,VfL Osnabruck vs Hansa Rostock,Lay_CS_0x1_B365,8.53,1.0,8.53,1.0,8.53,,2025-09-14,EXECUTED,,171.97801116628378,5009.657581666748,1000.0,1556.99878558566,3009.657581666749,1.0,Fase_3_100pct
2025-09-14,09:00,SWITZERLAND 1,Winterthur vs Sion,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-14,EXECUTED,,207.08305327490646,5216.740634941655,1000.0,1764.0818388605664,3216.7406349416556,1.0,Fase_3_100pct
2025-09-15,07:00,JAPAN 1,FC Tokyo vs Verdy,Lay_CS_0x1_B365,8.53,1.0,8.53,1.0,8.53,,2025-09-15,EXECUTED,,219.0460185039349,5435.78665344559,1000.0,1983.1278573645013,3435.7866534455907,1.0,Fase_3_100pct
2025-09-15,12:00,ROMANIA 1,FC Hermannstadt vs Unirea Slobozia,Lay_CS_0x1_B365,10.03,1.0,10.03,1.0,10.03,,2025-09-15,EXECUTED,,205.3404813550176,5641.127134800608,1000.0,1000.0,3641.1271348006085,1.0,Fase_3_100pct
2025-09-15,16:00,SPAIN 1,Espanyol vs Mallorca,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-15,EXECUTED,,133.0014224751067,5774.128557275714,1000.0,1133.0014224751067,3774.128557275715,1.0,Fase_3_100pct
2025-09-16,13:00,ESTONIA 1,Tammeka vs Parnu JK Vaprus,Lay_CS_0x1_B365,9.53,1.0,9.53,1.0,9.53,,2025-09-16,EXECUTED,,124.19183235805684,5898.320389633771,1000.0,1257.1932548331636,3898.320389633772,1.0,Fase_3_100pct
2025-09-19,15:00,FRANCE 2,Nancy vs Red Star,Lay_CS_0x1_B365,8.03,0.0,8.03,0.0,8.03,,2025-09-19,EXECUTED,,-1257.1932548331636,4641.127134800608,1000.0,1000.0,2641.1271348006085,1.0,Fase_3_100pct
2025-09-20,07:00,SPAIN 1,Betis B vs Atl. Madrid B,Lay_CS_1x0_B365,9.03,1.0,9.03,1.0,9.03,,2025-09-20,EXECUTED,,116.43835616438358,4757.565490964991,1000.0,1116.4383561643835,2757.565490964992,1.0,Fase_3_100pct
2025-09-21,07:00,SPAIN 1,CF Talavera vs Barakaldo,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-21,EXECUTED,,148.4878894756328,4906.053380440624,1000.0,1264.9262456400163,2906.053380440625,1.0,Fase_3_100pct
2025-09-21,08:30,BELGIUM 1,Genk vs Royale Union SG,Lay_CS_0x1_B365,9.53,1.0,9.53,1.0,9.53,,2025-09-21,EXECUTED,,138.6525251668717,5044.705905607496,1000.0,1403.578770806888,3044.705905607497,1.0,Fase_3_100pct
2025-09-21,10:00,ENGLAND 1,Sunderland vs Aston Villa,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-21,EXECUTED,,186.6779730731779,5231.383878680674,1000.0,1590.256743880066,3231.3838786806746,1.0,Fase_3_100pct
2025-09-22,15:00,FRANCE 1,Marseille vs PSG,Lay_CS_0x1_B365,9.03,1.0,9.03,1.0,9.03,,2025-09-22,EXECUTED,,185.16688113672004,5416.550759817394,1000.0,1775.4236250167862,3416.5507598173945,1.0,Fase_3_100pct
2025-09-23,07:00,JAPAN 1,Shonan Bellmare vs Kawasaki Frontale,Lay_CS_0x1_B365,8.53,1.0,8.53,1.0,8.53,,2025-09-23,EXECUTED,,220.45432794033138,5637.005087757725,1000.0,1995.8779529571175,3637.005087757726,1.0,Fase_3_100pct
2025-09-23,14:00,SPAIN 1,Espanyol vs Valencia,Lay_CS_0x1_B365,8.53,1.0,8.53,1.0,8.53,,2025-09-23,EXECUTED,,247.82813891300202,5884.8332266707275,1000.0,1000.0,3884.833226670728,1.0,Fase_3_100pct
2025-09-23,15:30,FRANCE 2,Red Star vs Troyes,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-23,EXECUTED,,133.0014224751067,6017.834649145834,2000.0,2000.0,17.834649145834646,1.0,Fase_3_100pct
2025-09-23,19:00,COPA LIBERTADORES,Racing Club (Arg) vs Velez Sarsfield (Arg),Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-23,EXECUTED,,266.0028449502134,6283.8374940960475,2000.0,2266.0028449502133,283.83749409604803,1.0,Fase_3_100pct
2025-09-25,14:30,SPAIN 1,Osasuna vs Elche,Lay_CS_0x1_B365,11.03,1.0,11.03,1.0,11.03,,2025-09-25,EXECUTED,,211.2375533428165,6495.075047438864,2000.0,2477.24039829303,495.07504743886454,1.0,Fase_3_100pct
2025-09-25,16:30,SPAIN 1,Oviedo vs Barcelona,Lay_CS_0x1_B365,8.53,1.0,8.53,1.0,8.53,,2025-09-25,EXECUTED,,307.59890735776673,6802.673954796631,2000.0,2784.8393056507966,802.6739547966313,1.0,Fase_3_100pct
2025-09-26,09:00,CHINA 1,Zhejiang Professional vs Chengdu Rongcheng,Lay_CS_0x1_B365,9.03,1.0,9.03,1.0,9.03,,2025-09-26,EXECUTED,,324.2621109319421,7126.936065728573,2000.0,3109.1014165827387,1126.9360657285733,1.0,Fase_3_100pct
2025-09-26,14:30,FRANCE 3,Versailles vs Quevilly Rouen,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-26,EXECUTED,,413.5149110248736,7540.450976753447,2000.0,3522.616327607612,1540.4509767534469,1.0,Fase_3_100pct
2025-09-28,07:15,POLAND 1,Widzew Lodz vs Rakow,Lay_CS_0x1_B365,9.03,0.0,9.03,0.0,9.03,,2025-09-28,EXECUTED,,-3522.616327607612,4017.834649145835,2000.0,2000.0,-1982.1653508541654,1.0,Fase_3_100pct
2025-09-28,10:30,GERMANY 1,Freiburg vs Hoffenheim,Lay_CS_0x1_B365,11.03,1.0,11.03,1.0,11.03,,2025-09-28,EXECUTED,,186.44067796610173,4204.275327111937,2000.0,2186.4406779661017,-1795.7246728880637,1.0,Fase_3_100pct
2025-09-29,12:00,GREECE 1,Atromitos vs AEL Larissa,Lay_CS_0x1_B365,10.03,1.0,10.03,1.0,10.03,,2025-09-29,EXECUTED,,226.39225181598064,4430.667578927918,2000.0,2412.8329297820824,-1569.332421072083,1.0,Fase_3_100pct
2025-09-29,15:00,NETHERLANDS 2,Roda vs Cambuur,Lay_CS_0x1_B365,9.53,1.0,9.53,1.0,9.53,,2025-09-29,EXECUTED,,264.47816991163506,4695.145748839553,2000.0,2677.3110996937176,-1304.8542511604478,1.0,Fase_3_100pct
2025-09-29,16:00,PORTUGAL 1,Arouca vs FC Porto,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-09-29,EXECUTED,,356.08618466765665,5051.23193350721,2000.0,3033.397284361374,-948.7680664927911,1.0,Fase_3_100pct
2025-09-30,14:00,GERMANY 3,Stuttgart II vs Wehen,Lay_CS_0x1_B365,9.53,1.0,9.53,1.0,9.53,,2025-09-30,EXECUTED,,332.50017126352697,5383.732104770736,2000.0,3365.8974556249013,-616.2678952292642,1.0,Fase_3_100pct
2025-10-02,16:00,ENGLAND 3,Rotherham vs Bradford City,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-10-02,EXECUTED,,447.6691495034542,5831.40125427419,2000.0,3813.5666051283556,-168.59874572581003,1.0,Fase_3_100pct
2025-10-03,14:30,FRANCE 3,Caen vs Le Puy-en-Velay,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-10-03,EXECUTED,,507.2097831856348,6338.611037459825,2000.0,2000.0,338.6110374598248,1.0,Fase_3_100pct
2025-10-03,16:00,ENGLAND 2,Wrexham vs Birmingham,Lay_CS_0x1_B365,8.03,1.0,8.03,1.0,8.03,,2025-10-03,EXECUTED,,266.0028449502134,6604.613882410038,2000.0,2266.0028449502133,604.6138824100382,1.0,Fase_3_100pct
2025-10-04,10:00,ITALY 1,Parma vs Lecce,Lay_CS_1x0_B365,6.03,1.0,6.03,1.0,6.03,,2025-10-04,EXECUTED,,421.215240562316,7025.8291229723545,2000.0,2687.2180855125293,1025.829122972354,1.0,Fase_3_100pct
