Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase,Fold,Segmento,Estrategia
2026-03-08,11:00,ITALY 1,Bologna vs Verona,Lay_CS_1x0_B365,api_diaria_cruzada_betfair,6.83,500.0,1.0,1x2,alias_exact,False,True,2026-03,6.83,1.0,0.0,39001.84386950057,2,6.83,1.0,6.83,,2026-03-08,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,10:30,BULGARIA 1,Montana vs Ludogorets,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.03,250.0,1.0,0x3,alias_exact,False,True,2026-03,8.03,1.0,0.0,35865.75385662551,2,8.03,1.0,8.03,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,13:00,GREECE 1,Panetolikos vs Kifisia,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.23,312.5,1.0,2x1,alias_exact,False,True,2026-03,8.23,1.0,0.0,36197.7738369337,2,8.23,1.0,8.23,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,15:00,ROMANIA 1,CFR Cluj vs Dinamo Bucuresti,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.03,375.0,1.0,2x0,alias_exact,False,True,2026-03,10.03,1.0,0.0,36497.98902400086,2,10.03,1.0,10.03,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,16:45,FRANCE 2,Dunkerque vs Reims,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.23,437.5,1.0,1x1,alias_exact,False,True,2026-03,9.23,1.0,0.0,36861.49380396735,2,9.23,1.0,9.23,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-12,19:00,BRAZIL 1,Remo vs Fluminense,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.63,312.5,1.0,0x2,alias_exact,False,True,2026-03,8.63,1.0,0.0,37298.128313586334,2,8.63,1.0,8.63,,2026-03-12,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,12:30,ROMANIA 1,UTA Arad vs FC Hermannstadt,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.53,312.5,1.0,3x2,alias_exact,False,True,2026-03,10.53,1.0,0.0,37948.75837225722,2,10.53,1.0,10.53,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,08:35,CHINA 1,Wuhan Three Towns vs Dalian Yingbo,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.23,250.0,1.0,4x1,alias_exact,False,True,2026-03,9.23,1.0,0.0,37752.53591685324,2,9.23,1.0,9.23,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,16:00,FRANCE 2,Nancy vs Le Mans,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.43,437.5,1.0,2x4,alias_exact,False,True,2026-03,8.43,1.0,0.0,38544.89554920134,2,8.43,1.0,8.43,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,14:00,AUSTRIA 2,Bregenz vs Admira,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.23,375.0,1.0,1x4,alias_exact,False,True,2026-03,8.23,1.0,0.0,38232.77884193948,2,8.23,1.0,8.23,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
