Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-10-06,15:30,SPAIN 2,Cultural Leonesa vs Albacete,Lay_CS_0x1_B365,historico,9.53,250.0,1.0,0x0,alias_exact,False,True,2025-10,9.53,1.0,54.80656506447832,16334.675113170537,1,9.53,1.0,9.53,,2025-10-06,EXECUTED,,5380.652072590648,500.0,500.0,5380.652072590648,1.0,Sem_Rampa
2025-10-07,14:30,FRANCE 3,Versailles vs Villefranche,Lay_CS_0x1_B365,historico,10.03,312.5,1.0,2x1,alias_exact,False,True,2025-10,10.03,1.0,51.7718715393134,16438.21885624916,1,10.03,1.0,10.03,,2025-10-07,EXECUTED,,5432.423944129961,500.0,500.0,5432.423944129961,1.0,Sem_Rampa
2025-10-07,21:30,BRAZIL 2,Goias vs CRB,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,1x2,alias_exact,False,True,2025-10,10.03,1.0,51.7718715393134,15438.21885624916,1,10.03,1.0,10.03,,2025-10-07,EXECUTED,,5484.1958156692735,500.0,500.0,5484.1958156692735,1.0,Sem_Rampa
2025-10-09,20:30,CHILE 1,U. Catolica vs Nublense,Lay_CS_0x1_B365,historico,11.03,312.5,1.0,1x0,alias_exact,False,True,2025-10,11.03,1.0,46.61016949152543,14427.895452153583,1,11.03,1.0,11.03,,2025-10-09,EXECUTED,,5530.805985160799,500.0,500.0,5530.805985160799,1.0,Sem_Rampa
2025-10-10,15:30,SPAIN 2,Granada CF vs Las Palmas,Lay_CS_1x0_B365,historico,7.53,312.5,1.0,0x0,alias_exact,False,True,2025-10,7.53,1.0,71.5926493108729,14584.42853285024,1,7.53,1.0,7.53,,2025-10-10,EXECUTED,,5602.398634471671,500.0,500.0,5602.398634471671,1.0,Sem_Rampa
2025-10-12,07:00,SPAIN 1,Sabadell vs Teruel,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,0x0,alias_exact,False,True,2025-10,8.53,1.0,62.08499335989377,13555.08122113957,1,8.53,1.0,8.53,,2025-10-12,EXECUTED,,5664.483627831565,500.0,500.0,5664.483627831565,1.0,Sem_Rampa
2025-10-12,09:00,SPAIN 2,Albacete vs Ceuta,Lay_CS_0x1_B365,historico,11.03,312.5,1.0,0x0,alias_exact,False,True,2025-10,11.03,1.0,46.61016949152543,13622.237722729904,1,11.03,1.0,11.03,,2025-10-12,EXECUTED,,5711.09379732309,500.0,500.0,5711.09379732309,1.0,Sem_Rampa
2025-10-12,11:00,SPAIN 1,Arenteiro vs Guadalajara,Lay_CS_0x1_B365,historico,8.03,375.0,1.0,0x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,13726.984670089509,1,8.03,1.0,8.03,,2025-10-12,EXECUTED,,5777.594508560644,500.0,500.0,5777.594508560644,1.0,Sem_Rampa
2025-10-12,13:30,SPAIN 2,Cadiz CF vs Huesca,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,1x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,13944.35508037213,1,8.03,1.0,8.03,,2025-10-12,EXECUTED,,5844.095219798197,500.0,500.0,5844.095219798197,1.0,Sem_Rampa
2025-10-16,14:30,ROMANIA 1,Csikszereda M. Ciuc vs CFR Cluj,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,2x2,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14019.700480799884,1,8.03,1.0,8.03,,2025-10-16,EXECUTED,,5910.59593103575,500.0,500.0,5910.59593103575,1.0,Sem_Rampa
2025-10-16,16:00,ENGLAND 3,Huddersfield vs Bolton,Lay_CS_0x1_B365,historico,10.03,312.5,1.0,1x2,alias_exact,False,True,2025-10,10.03,1.0,51.7718715393134,14086.159629682172,1,10.03,1.0,10.03,,2025-10-16,EXECUTED,,5962.367802575063,500.0,500.0,5962.367802575063,1.0,Sem_Rampa
2025-10-17,07:00,JAPAN 1,Vissel Kobe vs Kashima Antlers,Lay_CS_0x1_B365,historico,10.03,250.0,1.0,0x0,alias_exact,False,True,2025-10,10.03,1.0,51.7718715393134,14159.500207601552,1,10.03,1.0,10.03,,2025-10-17,EXECUTED,,6014.139674114376,500.0,500.0,6014.139674114376,1.0,Sem_Rampa
2025-10-17,13:00,CROATIA 1,Vukovar 1991 vs Lok. Zagreb,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,1x1,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14263.460215989408,1,8.03,1.0,8.03,,2025-10-17,EXECUTED,,6080.64038535193,500.0,500.0,6080.64038535193,1.0,Sem_Rampa
2025-10-17,14:30,FRANCE 3,Rouen vs Paris 13 Atl.,Lay_CS_0x1_B365,historico,8.03,375.0,1.0,3x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14381.247053373372,1,8.03,1.0,8.03,,2025-10-17,EXECUTED,,6147.141096589483,500.0,500.0,6147.141096589483,1.0,Sem_Rampa
2025-10-17,16:00,ENGLAND 2,Middlesbrough vs Ipswich,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,2x1,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14447.747764610926,1,8.03,1.0,8.03,,2025-10-17,EXECUTED,,6213.641807827036,500.0,500.0,6213.641807827036,1.0,Sem_Rampa
2025-10-19,07:00,SPAIN 1,Ponferradina vs Zamora,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,2x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14655.571335989467,1,8.03,1.0,8.03,,2025-10-19,EXECUTED,,6280.14251906459,500.0,500.0,6280.14251906459,1.0,Sem_Rampa
2025-10-19,08:30,ESTONIA 1,Harju JK Laagri vs Kalju,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,1x3,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14758.557567034424,1,8.03,1.0,8.03,,2025-10-19,EXECUTED,,6346.643230302143,500.0,500.0,6346.643230302143,1.0,Sem_Rampa
2025-10-19,11:30,ROMANIA 1,UTA Arad vs Otelul,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,0x4,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,15007.443737206251,1,8.03,1.0,8.03,,2025-10-19,EXECUTED,,6413.143941539696,500.0,500.0,6413.143941539696,1.0,Sem_Rampa
2025-10-20,10:00,BELGIUM 1,St. Liege vs Antwerp,Lay_CS_0x1_B365,historico,11.03,250.0,1.0,1x0,alias_exact,False,True,2025-10,11.03,1.0,46.61016949152543,15146.473528483417,1,11.03,1.0,11.03,,2025-10-20,EXECUTED,,6459.754111031221,500.0,500.0,6459.754111031221,1.0,Sem_Rampa
2025-10-21,13:45,EUROPA CHAMPIONS LEAGUE,Kairat Almaty vs Pafos,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,0x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14718.439797587576,1,8.03,1.0,8.03,,2025-10-21,EXECUTED,,6526.254822268775,500.0,500.0,6526.254822268775,1.0,Sem_Rampa
2025-10-21,15:45,ENGLAND 2,Hull vs Leicester,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,2x1,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14813.00328499249,1,8.03,1.0,8.03,,2025-10-21,EXECUTED,,6592.755533506328,500.0,500.0,6592.755533506328,1.0,Sem_Rampa
2025-10-22,14:00,SPAIN 1,Hercules vs Atl. Madrid B,Lay_CS_1x0_B365,historico,8.03,250.0,1.0,3x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,14920.143850736464,1,8.03,1.0,8.03,,2025-10-22,EXECUTED,,6659.256244743881,500.0,500.0,6659.256244743881,1.0,Sem_Rampa
2025-10-23,16:00,ENGLAND 3,Exeter vs Plymouth,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,2x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,15041.534264129174,1,8.03,1.0,8.03,,2025-10-23,EXECUTED,,6725.756955981435,500.0,500.0,6725.756955981435,1.0,Sem_Rampa
2025-10-24,08:35,CHINA 1,Wuhan Three Towns vs Shenzhen Xinpengcheng,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,1x2,alias_exact,False,True,2025-10,8.53,1.0,62.08499335989377,15103.619257489068,1,8.53,1.0,8.53,,2025-10-24,EXECUTED,,6787.8419493413285,500.0,500.0,6787.8419493413285,1.0,Sem_Rampa
2025-10-24,12:30,SERBIA 1,Novi Pazar vs Javor,Lay_CS_0x1_B365,historico,11.03,375.0,1.0,1x2,alias_exact,False,True,2025-10,11.03,1.0,46.61016949152543,15156.017011107362,1,11.03,1.0,11.03,,2025-10-24,EXECUTED,,6834.452118832854,500.0,500.0,6834.452118832854,1.0,Sem_Rampa
2025-10-24,15:30,SPAIN 2,Huesca vs Las Palmas,Lay_CS_1x0_B365,historico,6.03,500.0,1.0,1x1,alias_exact,False,True,2025-10,6.03,1.0,92.94234592445328,15367.158839586777,1,6.03,1.0,6.03,,2025-10-24,EXECUTED,,6927.394464757307,500.0,500.0,6927.394464757307,1.0,Sem_Rampa
